#	date	New York
20120323	61.7
20120324	55.8
20120325	48.4
20120326	49.8
20120327	39.6
20120328	49.7
20120329	56.8
20120330	46.5
20120331	42.2
20120401	45.3
20120402	48.1
20120403	51.2
20120404	61.0
20120405	50.7
20120406	48.0
20120407	51.1
20120408	55.7
20120409	58.3
20120410	55.0
20120411	49.0
20120412	51.7
20120413	53.1
20120414	55.2
20120415	62.3
20120416	62.9
20120417	69.3
20120418	59.0
20120419	54.1
20120420	56.5
20120421	58.2
20120422	52.4
20120423	51.6
20120424	49.3
20120425	52.5
20120426	50.5
20120427	51.9
20120428	47.4
20120429	54.1
20120430	51.9
20120501	57.4
20120502	53.7
20120503	53.1
20120504	57.2
20120505	57.0
20120506	56.6
20120507	54.6
20120508	57.9
20120509	59.2
20120510	61.1
20120511	59.7
20120512	64.1
20120513	65.3
20120514	64.2
20120515	62.0
20120516	63.8
20120517	64.5
20120518	61.0
20120519	62.6
20120520	66.2
20120521	62.7
20120522	63.7
20120523	66.4
20120524	64.5
20120525	65.4
20120526	69.4
20120527	71.9
20120528	74.4
20120529	75.9
20120530	72.9
20120531	72.5
20120601	67.2
20120602	68.3
20120603	67.7
20120604	61.9
20120605	58.3
20120606	61.7
20120607	66.7
20120608	68.7
20120609	72.2
20120610	72.6
20120611	69.2
20120612	66.9
20120613	66.7
20120614	67.7
20120615	68.5
20120616	67.5
20120617	64.2
20120618	61.7
20120619	66.4
20120620	77.9
20120621	88.3
20120622	82.2
20120623	77.0
20120624	75.4
20120625	70.9
20120626	65.9
20120627	73.5
20120628	77.4
20120629	79.6
20120630	84.2
20120701	81.8
20120702	82.5
20120703	80.2
20120704	77.8
20120705	86.1
20120706	79.9
20120707	83.5
20120708	81.5
20120709	77.8
20120710	76.1
20120711	76.3
20120712	75.8
20120713	77.2
20120714	79.3
20120715	78.9
20120716	79.6
20120717	83.3
20120718	84.3
20120719	75.1
20120720	68.4
20120721	68.4
20120722	72.2
20120723	75.6
20120724	82.6
20120725	78.4
20120726	77.0
20120727	79.4
20120728	77.4
20120729	72.5
20120730	72.9
20120731	73.6
20120801	75.0
20120802	77.7
20120803	79.7
20120804	79.6
20120805	81.5
20120806	80.0
20120807	75.7
20120808	77.8
20120809	78.6
20120810	77.8
20120811	78.5
20120812	78.8
20120813	78.6
20120814	76.8
20120815	76.7
20120816	75.9
20120817	77.6
20120818	72.6
20120819	70.4
20120820	71.8
20120821	73.6
20120822	74.7
20120823	74.6
20120824	76.0
20120825	76.2
20120826	73.4
20120827	74.6
20120828	79.4
20120829	74.7
20120830	73.5
20120831	77.9
20120901	80.7
20120902	75.1
20120903	73.5
20120904	73.5
20120905	77.7
20120906	74.2
20120907	76.0
20120908	77.1
20120909	69.7
20120910	67.8
20120911	64.0
20120912	68.1
20120913	69.3
20120914	70.0
20120915	69.3
20120916	66.3
20120917	67.0
20120918	72.8
20120919	67.2
20120920	62.1
20120921	64.0
20120922	65.5
20120923	65.7
20120924	60.4
20120925	63.2
20120926	68.5
20120927	69.2
20120928	68.7
20120929	62.5
20120930	62.3
