From,To,Attributes
"USG 1.0",,"color=blue,font='Helvetica-Outline',angle=42,shape=polygon,num_sides=4"
"USG 1.0","CB Unix 1","shape=polygon"
"USG 1.0","USG 2.0","shape=polygon"
"USG 2.0",,"color=chartreuse4,font='Helvetica-Outline',angle=74,shape=polygon,num_sides=4"
"USG 2.0","USG 3.0","shape=polygon"
"USG 3.0",,"color=bisque2,font='Helvetica-Outline',angle=44,shape=polygon,num_sides=4"
"USG 3.0","Unix/TS 3.0","shape=polygon"
"Ultrix-11",,"color=darkseagreen4,font='Helvetica-Outline',angle=10,shape=polygon,num_sides=10"
"Ultrix-32",,"color=goldenrod3,font='Helvetica-Outline',angle=21,shape=polygon,num_sides=4"
"UniPlus+",,"color=darkolivegreen3,font='Helvetica-Outline',angle=39,shape=polygon,num_sides=7"
"Unix/TS 1.0",,"color=orangered,font='Helvetica-Outline',angle=75,shape=polygon,num_sides=4"
"Unix/TS 1.0","Unix/TS 3.0","shape=polygon"
"Unix/TS 3.0",,"color=thistle2,font='Helvetica-Outline',angle=43,shape=polygon,num_sides=8"
"Unix/TS 3.0","TS 4.0","shape=polygon"
"Unix/TS++",,"color=mistyrose2,font='Helvetica-Outline',angle=16,shape=polygon,num_sides=6"
"Unix/TS++","TS 4.0","shape=polygon"
Interdata,,"color=dodgerblue1,font='Helvetica-Outline',angle=56,shape=polygon,num_sides=4"
Interdata,"Unix/TS 3.0","shape=polygon"
Interdata,"PWB 2.0","shape=polygon"
Interdata,"7th Edition","shape=polygon"
LSX,,"color=burlywood2,font='Helvetica-Outline',angle=22,shape=polygon,num_sides=9"
V7M,,"color=navy,font='Helvetica-Outline',angle=32,shape=polygon,num_sides=10"
V7M,"Ultrix-11","shape=polygon"
Wollongong,,"color=darkseagreen,font='Helvetica-Outline',angle=63,shape=polygon,num_sides=5"
Xenix,,"color=coral,font='Helvetica-Outline',angle=52,shape=polygon,num_sides=8"
