# location,geometry
Ecuador,{{{-80.3026 -3.40486} {-79.7703 -2.65751} {-79.9866 -2.22079} {-80.3688 -2.68516} {-80.9678 -2.24694} {-80.7648 -1.96505} {-80.9337 -1.05745} {-80.5834 -0.906663} {-80.3993 -0.283703} {-80.0209 0.36034} {-80.0906 0.768429} {-79.5428 0.982938} {-78.8553 1.38092} {-77.8551 0.809925} {-77.6686 0.825893} {-77.425 0.395687} {-76.5764 0.256936} {-76.2923 0.416047} {-75.8015 0.0848013} {-75.3732 -0.152032} {-75.2337 -0.911417} {-75.545 -1.56161} {-76.6354 -2.60868} {-77.8379 -3.00302} {-78.4507 -3.8731} {-78.6399 -4.54778} {-79.2053 -4.95913} {-79.625 -4.4542} {-80.0289 -4.34609} {-80.4422 -4.42572} {-80.4693 -4.05929} {-80.184 -3.82116} {-80.3026 -3.40486}}}
Falkland Islands,{{{-61.2 -51.85} {-60 -51.25} {-59.15 -51.5} {-58.55 -51.1} {-57.75 -51.55} {-58.05 -51.9} {-59.4 -52.2} {-59.85 -51.85} {-60.7 -52.3} {-61.2 -51.85}}}
Guyana,{{{-59.7583 8.36703} {-59.1017 7.9992} {-58.483 7.34769} {-58.4549 6.83279} {-58.0781 6.80909} {-57.5422 6.32127} {-57.1474 5.97315} {-57.3072 5.07357} {-57.9143 4.81263} {-57.8602 4.5768} {-58.0447 4.06086} {-57.6016 3.33465} {-57.2814 3.33349} {-57.1501 2.76893} {-56.5394 1.89952} {-56.7827 1.86371} {-57.3358 1.94854} {-57.661 1.68258} {-58.1134 1.5072} {-58.4295 1.46394} {-58.54 1.26809} {-59.0309 1.3177} {-59.646 1.78689} {-59.7185 2.24963} {-59.9745 2.75523} {-59.8154 3.6065} {-59.538 3.9588} {-59.7674 4.4235} {-60.111 4.57497} {-59.981 5.01406} {-60.2137 5.24449} {-60.7336 5.20028} {-61.4103 5.95907} {-61.1394 6.2343} {-61.1593 6.69608} {-60.544 6.85658} {-60.2957 7.04391} {-60.638 7.415} {-60.5506 7.7796} {-59.7583 8.36703}}}
Peru,{{{-69.5904 -17.58} {-69.8584 -18.0927} {-70.3726 -18.348} {-71.3753 -17.7738} {-71.462 -17.3635} {-73.4445 -16.3594} {-75.2379 -15.2657} {-76.0092 -14.6493} {-76.4235 -13.8232} {-76.2592 -13.535} {-77.1062 -12.2227} {-78.0922 -10.3777} {-79.037 -8.38657} {-79.4459 -7.93083} {-79.7606 -7.19434} {-80.5375 -6.54167} {-81.25 -6.13683} {-80.9263 -5.69056} {-81.4109 -4.73676} {-81.0997 -4.03639} {-80.3026 -3.40486} {-80.184 -3.82116} {-80.4693 -4.05929} {-80.4422 -4.42572} {-80.0289 -4.34609} {-79.625 -4.4542} {-79.2053 -4.95913} {-78.6399 -4.54778} {-78.4507 -3.8731} {-77.8379 -3.00302} {-76.6354 -2.60868} {-75.545 -1.56161} {-75.2337 -0.911417} {-75.3732 -0.152032} {-75.1066 -0.0572055} {-74.4416 -0.53082} {-74.1224 -1.00283} {-73.6595 -1.26049} {-73.0704 -2.30895} {-72.3258 -2.43422} {-71.7748 -2.16979} {-71.4136 -2.3428} {-70.8135 -2.25686} {-70.0477 -2.72516} {-70.6927 -3.74287} {-70.394 -3.76659} {-69.8936 -4.29819} {-70.7948 -4.25126} {-70.9288 -4.40159} {-71.7484 -4.59398} {-72.8919 -5.27456} {-72.9645 -5.74125} {-73.2197 -6.08919} {-73.12 -6.62993} {-73.7245 -6.9186} {-73.7234 -7.341} {-73.9872 -7.52383} {-73.5711 -8.42445} {-73.0154 -9.03283} {-73.2267 -9.46221} {-72.563 -9.52019} {-72.1849 -10.0536} {-71.3024 -10.0794} {-70.4819 -9.49012} {-70.5487 -11.0091} {-70.0938 -11.124} {-69.5297 -10.9517} {-68.6651 -12.5613} {-68.8801 -12.8997} {-68.9292 -13.6027} {-68.9489 -14.4536} {-69.3395 -14.9532} {-69.1603 -15.324} {-69.3898 -15.6601} {-68.9596 -16.5007} {-69.5904 -17.58}}}
Paraguay,{{{-62.6851 -22.249} {-62.2912 -21.0516} {-62.266 -20.5137} {-61.7863 -19.6337} {-60.0436 -19.3427} {-59.115 -19.3569} {-58.1835 -19.8684} {-58.1664 -20.1767} {-57.8707 -20.7327} {-57.9372 -22.0902} {-56.8815 -22.2822} {-56.4733 -22.0863} {-55.798 -22.3569} {-55.6107 -22.6556} {-55.5176 -23.572} {-55.4007 -23.9569} {-55.0279 -24.0013} {-54.6528 -23.8396} {-54.293 -24.021} {-54.2935 -24.5708} {-54.4289 -25.1622} {-54.6253 -25.7393} {-54.7888 -26.6218} {-55.6958 -27.3878} {-56.4867 -27.5485} {-57.6098 -27.3959} {-58.6182 -27.1237} {-57.6337 -25.6037} {-57.7772 -25.1623} {-58.8071 -24.7715} {-60.029 -24.0328} {-60.8466 -23.8807} {-62.6851 -22.249}}}
Suriname,{{{-57.1474 5.97315} {-55.9493 5.77288} {-55.8418 5.95313} {-55.0333 6.02529} {-53.958 5.75655} {-54.4786 4.89676} {-54.3995 4.21261} {-54.0069 3.62004} {-54.1817 3.18978} {-54.2697 2.73239} {-54.5248 2.31185} {-55.0976 2.52375} {-55.5698 2.42151} {-55.9733 2.51036} {-56.0733 2.22079} {-55.9056 2.022} {-55.9957 1.81767} {-56.5394 1.89952} {-57.1501 2.76893} {-57.2814 3.33349} {-57.6016 3.33465} {-58.0447 4.06086} {-57.8602 4.5768} {-57.9143 4.81263} {-57.3072 5.07357} {-57.1474 5.97315}}}
Uruguay,{{{-57.6251 -30.2163} {-56.976 -30.1097} {-55.9732 -30.8831} {-55.6015 -30.8539} {-54.5725 -31.4945} {-53.788 -32.0472} {-53.2096 -32.7277} {-53.6505 -33.202} {-53.3737 -33.7684} {-53.8064 -34.3968} {-54.9359 -34.9526} {-55.6741 -34.7527} {-56.2153 -34.8598} {-57.1397 -34.4305} {-57.8179 -34.4625} {-58.4271 -33.9095} {-58.3496 -33.2632} {-58.1326 -33.0406} {-58.1424 -32.0445} {-57.8749 -31.0166} {-57.6251 -30.2163}}}
Venezuela,{{{-71.3316 11.7763} {-71.36 11.54} {-71.947 11.4233} {-71.6209 10.9695} {-71.6331 10.4465} {-72.0742 9.86565} {-71.6956 9.07226} {-71.2646 9.13719} {-71.04 9.85999} {-71.3501 10.2119} {-71.4006 10.969} {-70.1553 11.3755} {-70.2938 11.8468} {-69.9432 12.1623} {-69.5843 11.4596} {-68.883 11.4434} {-68.2333 10.8857} {-68.1941 10.5547} {-67.2962 10.5459} {-66.2279 10.6486} {-65.6552 10.2008} {-64.8905 10.0772} {-64.3295 10.3896} {-64.318 10.6414} {-63.0793 10.7017} {-61.8809 10.7156} {-62.7301 10.4203} {-62.3885 9.9482} {-61.5888 9.87307} {-60.8306 9.38134} {-60.6713 8.58017} {-60.1501 8.60276} {-59.7583 8.36703} {-60.5506 7.7796} {-60.638 7.415} {-60.2957 7.04391} {-60.544 6.85658} {-61.1593 6.69608} {-61.1394 6.2343} {-61.4103 5.95907} {-60.7336 5.20028} {-60.6012 4.9181} {-60.9669 4.53647} {-62.0854 4.16212} {-62.8045 4.00697} {-63.0932 3.77057} {-63.8883 4.02053} {-64.6287 4.14848} {-64.8161 4.05645} {-64.3685 3.79721} {-64.4088 3.12679} {-64.27 2.49701} {-63.4229 2.41107} {-63.3688 2.2009} {-64.0831 1.91637} {-64.1993 1.49285} {-64.611 1.32873} {-65.3547 1.09528} {-65.5483 0.789254} {-66.3258 0.724452} {-66.8763 1.25336} {-67.1813 2.25064} {-67.4471 2.60028} {-67.8099 2.82066} {-67.3032 3.31845} {-67.3376 3.54234} {-67.6218 3.83948} {-67.823 4.50394} {-67.7447 5.22113} {-67.5215 5.55687} {-67.3414 6.09547} {-67.6951 6.26732} {-68.2651 6.15327} {-68.9853 6.2068} {-69.3895 6.09986} {-70.0933 6.96038} {-70.6742 7.08778} {-71.9602 6.99161} {-72.1984 7.34043} {-72.4445 7.42378} {-72.4797 7.63251} {-72.3609 8.00264} {-72.4399 8.40528} {-72.6605 8.62529} {-72.7887 9.08503} {-73.305 9.152} {-73.0276 9.73677} {-72.9053 10.4503} {-72.6147 10.822} {-72.2276 11.1087} {-71.9739 11.6087} {-71.3316 11.7763}}}
Afghanistan,{{{61.2108 35.6501} {62.2307 35.2707} {62.9847 35.404} {63.1935 35.8572} {63.9829 36.008} {64.5465 36.3121} {64.7461 37.1118} {65.5889 37.3052} {65.7456 37.6612} {66.2174 37.3938} {66.5186 37.3628} {67.0758 37.3561} {67.83 37.145} {68.1356 37.0231} {68.8594 37.3443} {69.1963 37.1511} {69.5188 37.609} {70.1166 37.5882} {70.2706 37.7352} {70.3763 38.1384} {70.8068 38.4863} {71.3481 38.2589} {71.2394 37.9533} {71.5419 37.9058} {71.4487 37.0656} {71.8446 36.7382} {72.193 36.9483} {72.6369 37.0476} {73.2601 37.4953} {73.9487 37.4216} {74.98 37.42} {75.158 37.133} {74.5759 37.0208} {74.0676 36.8362} {72.92 36.72} {71.8463 36.5099} {71.2623 36.0744} {71.4988 35.6506} {71.6131 35.1532} {71.115 34.7331} {71.1568 34.3489} {70.8818 33.9889} {69.9305 34.0201} {70.3236 33.3585} {69.6871 33.1055} {69.2625 32.5019} {69.3178 31.9014} {68.9267 31.6202} {68.5569 31.7133} {67.7927 31.5829} {67.6834 31.3032} {66.9389 31.3049} {66.3815 30.7389} {66.3465 29.8879} {65.0469 29.4722} {64.3504 29.56} {64.148 29.3408} {63.5503 29.4683} {62.5499 29.3186} {60.8742 29.8292} {61.7812 30.7359} {61.6993 31.3795} {60.9419 31.5481} {60.8637 32.1829} {60.5361 32.9813} {60.9637 33.5288} {60.5284 33.6764} {60.8032 34.4041} {61.2108 35.6501}}}
United Arab Emirates,{{{51.5795 24.2455} {51.7574 24.2941} {51.7944 24.0198} {52.5771 24.1774} {53.404 24.1513} {54.008 24.1218} {54.693 24.7979} {55.439 25.4391} {56.0708 26.0555} {56.261 25.7146} {56.3968 24.9247} {55.8862 24.9208} {55.8041 24.2696} {55.9812 24.1305} {55.5286 23.9336} {55.5258 23.5249} {55.2345 23.111} {55.2083 22.7083} {55.0068 22.4969} {52.0007 23.0012} {51.6177 24.0142} {51.5795 24.2455}}}
Armenia,{{{43.5827 41.0921} {44.9725 41.2481} {45.1795 40.9854} {45.5604 40.8123} {45.3592 40.5615} {45.8919 40.2185} {45.61 39.9} {46.0345 39.628} {46.4835 39.4642} {46.5057 38.7706} {46.1436 38.7412} {45.7354 39.3197} {45.74 39.474} {45.2981 39.4718} {45.002 39.74} {44.794 39.713} {44.4 40.005} {43.6564 40.2536} {43.7527 40.7402} {43.5827 41.0921}}}
Azerbaijan,{{{{45.002 39.74} {45.2981 39.4718} {45.74 39.474} {45.7354 39.3197} {46.1436 38.7412} {45.4577 38.8741} {44.9527 39.3358} {44.794 39.713} {45.002 39.74}}} {{{47.3733 41.2197} {47.8157 41.1514} {47.9873 41.4058} {48.5844 41.8089} {49.1103 41.2823} {49.6189 40.5729} {50.0848 40.5262} {50.3928 40.2566} {49.5692 40.1761} {49.3953 39.3995} {49.2232 39.0492} {48.8565 38.8155} {48.8832 38.3202} {48.6344 38.2704} {48.0107 38.794} {48.3555 39.2888} {48.0601 39.5822} {47.6851 39.5084} {46.5057 38.7706} {46.4835 39.4642} {46.0345 39.628} {45.61 39.9} {45.8919 40.2185} {45.3592 40.5615} {45.5604 40.8123} {45.1795 40.9854} {44.9725 41.2481} {45.2174 41.4115} {45.9626 41.1239} {46.5016 41.0644} {46.6379 41.1817} {46.1454 41.7228} {46.405 41.8607} {46.6861 41.8271} {47.3733 41.2197}}}}
Bangladesh,{{{92.6727 22.0412} {92.6523 21.324} {92.3032 21.4755} {92.3686 20.6709} {92.0829 21.1922} {92.0252 21.7016} {91.8349 22.1829} {91.4171 22.765} {90.496 22.805} {90.587 22.3928} {90.273 21.8364} {89.8475 22.0391} {89.702 21.8571} {89.4189 21.9662} {89.032 22.0557} {88.8763 22.8791} {88.5298 23.6311} {88.6999 24.2337} {88.0844 24.5017} {88.3064 24.8661} {88.9316 25.2387} {88.2098 25.7681} {88.563 26.4465} {89.3551 26.0144} {89.8325 25.9651} {89.9207 25.2697} {90.8722 25.1326} {91.7996 25.1474} {92.3762 24.9767} {91.9151 24.1304} {91.4677 24.0726} {91.159 23.5035} {91.7065 22.9853} {91.8699 23.6243} {92.146 23.6275} {92.6727 22.0412}}}
Brunei,{{{114.204 4.52587} {114.6 4.90001} {115.451 5.44773} {115.406 4.95523} {115.347 4.31664} {114.87 4.34831} {114.66 4.00764} {114.204 4.52587}}}
Bhutan,{{{91.6967 27.7717} {92.1037 27.4526} {92.0335 26.8383} {91.2175 26.8086} {90.3733 26.8757} {89.7445 26.7194} {88.8356 27.099} {88.8142 27.2993} {89.4758 28.0428} {90.0158 28.2964} {90.7305 28.065} {91.2589 28.0406} {91.6967 27.7717}}}
China,{{{{110.339 18.6784} {109.475 18.1977} {108.655 18.5077} {108.626 19.3679} {109.119 19.821} {110.212 20.1013} {110.787 20.0775} {111.01 19.6959} {110.571 19.2559} {110.339 18.6784}}} {{{127.657 49.7603} {129.398 49.4406} {130.582 48.7297} {130.987 47.7901} {132.507 47.789} {133.374 48.1834} {135.026 48.4782} {134.501 47.5784} {134.112 47.2125} {133.77 46.1169} {133.097 45.1441} {131.883 45.3212} {131.025 44.968} {131.289 44.1115} {131.145 42.93} {130.634 42.903} {130.64 42.395} {129.994 42.9854} {129.597 42.425} {128.052 41.9943} {128.208 41.4668} {127.344 41.5032} {126.869 41.8166} {126.182 41.1073} {125.08 40.5698} {124.266 39.9285} {122.868 39.6378} {122.131 39.1705} {121.055 38.8975} {121.586 39.3609} {121.377 39.7503} {122.169 40.4224} {121.64 40.9464} {120.769 40.5934} {119.64 39.8981} {119.023 39.2523} {118.043 39.2043} {117.533 38.7376} {118.06 38.0615} {118.878 37.8973} {118.912 37.4485} {119.703 37.1564} {120.823 37.8704} {121.711 37.4811} {122.358 37.4545} {122.52 36.9306} {121.104 36.6513} {120.637 36.1114} {119.665 35.6098} {119.151 34.9099} {120.228 34.3603} {120.62 33.3767} {121.229 32.4603} {121.908 31.6922} {121.892 30.9494} {121.264 30.6763} {121.504 30.1429} {122.092 29.8325} {121.938 29.018} {121.684 28.2255} {121.126 28.1357} {120.395 27.0532} {119.585 25.7408} {118.657 24.5474} {117.282 23.6245} {115.891 22.7829} {114.764 22.6681} {114.153 22.2238} {113.807 22.5483} {113.241 22.0514} {111.844 21.5505} {110.785 21.3971} {110.444 20.341} {109.89 20.2825} {109.628 21.0082} {109.864 21.3951} {108.523 21.7152} {108.05 21.5524} {107.043 21.8119} {106.567 22.2182} {106.725 22.7943} {105.811 22.9769} {105.329 23.3521} {104.477 22.8192} {103.505 22.7038} {102.707 22.7088} {102.17 22.4648} {101.652 22.3182} {101.803 21.1744} {101.27 21.2017} {101.18 21.4366} {101.15 21.85} {100.417 21.5588} {99.9835 21.7429} {99.2409 22.1183} {99.532 22.949} {98.8987 23.1427} {98.6603 24.0633} {97.6047 23.8974} {97.7246 25.0836} {98.6718 25.9187} {98.7121 26.7435} {98.6827 27.5088} {98.2462 27.7472} {97.912 28.3359} {97.3271 28.2616} {96.2488 28.411} {96.5866 28.831} {96.1177 29.4528} {95.4048 29.0317} {94.566 29.2774} {93.4133 28.6406} {92.5031 27.8969} {91.6967 27.7717} {91.2589 28.0406} {90.7305 28.065} {90.0158 28.2964} {89.4758 28.0428} {88.8142 27.2993} {88.7303 28.0869} {88.1204 27.8765} {86.9545 27.9743} {85.8233 28.2036} {85.0116 28.6428} {84.2346 28.8399} {83.899 29.3202} {83.3371 29.4637} {82.3275 30.1153} {81.5258 30.4227} {81.1113 30.1835} {79.7214 30.8827} {78.7389 31.5159} {78.4584 32.6182} {79.1761 32.4838} {79.2089 32.9944} {78.8111 33.5062} {78.9123 34.3219} {77.8375 35.494} {76.1928 35.8984} {75.8969 36.6668} {75.158 37.133} {74.98 37.42} {74.83 37.99} {74.8648 38.3788} {74.2575 38.6065} {73.9289 38.5058} {73.6754 39.4312} {73.96 39.66} {73.8222 39.894} {74.7769 40.3664} {75.4678 40.5621} {76.5264 40.4279} {76.9045 41.0665} {78.1872 41.1853} {78.5437 41.5822} {80.1194 42.1239} {80.26 42.35} {80.1802 42.9201} {80.8662 43.1804} {79.9661 44.9175} {81.9471 45.317} {82.4589 45.5396} {83.1805 47.33} {85.1643 47.001} {85.7205 47.453} {85.7682 48.4558} {86.5988 48.5492} {87.36 49.215} {87.7513 49.2972} {88.0138 48.5995} {88.8543 48.0691} {90.2808 47.6935} {90.9708 46.8881} {90.5858 45.7197} {90.9455 45.2861} {92.1339 45.1151} {93.4807 44.9755} {94.6889 44.3523} {95.3069 44.2413} {95.7625 43.3194} {96.3494 42.7256} {97.4518 42.7489} {99.5158 42.5247} {100.846 42.6638} {101.833 42.5149} {103.312 41.9075} {104.522 41.9083} {104.965 41.5974} {106.129 42.1343} {107.745 42.4815} {109.244 42.5194} {110.412 42.8712} {111.13 43.4068} {111.83 43.7431} {111.668 44.0732} {111.348 44.4574} {111.873 45.1021} {112.436 45.0116} {113.464 44.8089} {114.46 45.3398} {115.985 45.7272} {116.718 46.3882} {117.422 46.6727} {118.874 46.8054} {119.663 46.6927} {119.773 47.0481} {118.867 47.7471} {118.064 48.0667} {117.296 47.6977} {116.309 47.8534} {115.743 47.7265} {115.485 48.1354} {116.192 49.1346} {116.679 49.8885} {117.879 49.511} {119.288 50.1429} {119.279 50.5829} {120.182 51.6436} {120.738 51.9641} {120.726 52.5162} {120.177 52.7539} {121.003 53.2514} {122.246 53.4317} {123.572 53.4588} {125.068 53.161} {125.946 52.7928} {126.564 51.7843} {126.939 51.3539} {127.287 50.7398} {127.657 49.7603}}}}
N. Cyprus,{{{32.7318 35.14} {32.8025 35.1455} {32.947 35.3867} {33.6672 35.3732} {34.5765 35.6716} {33.9008 35.2458} {33.9736 35.0585} {33.8664 35.0936} {33.6754 35.0179} {33.5257 35.0387} {33.4758 35.0003} {33.4559 35.1014} {33.3838 35.1627} {33.191 35.1731} {32.9196 35.0878} {32.7318 35.14}}}
Cyprus,{{{33.9736 35.0585} {34.0049 34.9781} {32.9798 34.5719} {32.4903 34.7017} {32.2567 35.1032} {32.7318 35.14} {32.9196 35.0878} {33.191 35.1731} {33.3838 35.1627} {33.4559 35.1014} {33.4758 35.0003} {33.5257 35.0387} {33.6754 35.0179} {33.8664 35.0936} {33.9736 35.0585}}}
Georgia,{{{41.5541 41.5357} {41.7032 41.9629} {41.4535 42.6451} {40.8755 43.0136} {40.3214 43.1286} {39.955 43.435} {40.077 43.5531} {40.9222 43.3822} {42.3944 43.2203} {43.756 42.7408} {43.9312 42.555} {44.5376 42.712} {45.4703 42.5028} {45.7764 42.0924} {46.405 41.8607} {46.1454 41.7228} {46.6379 41.1817} {46.5016 41.0644} {45.9626 41.1239} {45.2174 41.4115} {44.9725 41.2481} {43.5827 41.0921} {42.6195 41.5832} {41.5541 41.5357}}}
Indonesia,{{{{120.716 -10.2396} {120.295 -10.2586} {118.968 -9.55797} {119.9 -9.36134} {120.426 -9.66592} {120.776 -9.96968} {120.716 -10.2396}}} {{{124.436 -10.14} {123.58 -10.36} {123.46 -10.24} {123.55 -9.90002} {123.98 -9.29003} {124.969 -8.89279} {125.07 -9.08999} {125.089 -9.39317} {124.436 -10.14}}} {{{117.9 -8.09568} {118.261 -8.36238} {118.878 -8.28068} {119.127 -8.70582} {117.97 -8.90664} {117.278 -9.04089} {116.74 -9.03294} {117.084 -8.45716} {117.632 -8.4493} {117.9 -8.09568}}} {{{122.904 -8.09423} {122.757 -8.64981} {121.254 -8.93367} {119.924 -8.81042} {119.921 -8.44486} {120.715 -8.23696} {121.342 -8.53674} {122.007 -8.46062} {122.904 -8.09423}}} {{{108.623 -6.77767} {110.539 -6.87736} {110.76 -6.46519} {112.615 -6.94604} {112.979 -7.59421} {114.479 -7.77653} {115.706 -8.37081} {114.565 -8.75182} {113.465 -8.34895} {112.56 -8.37618} {111.522 -8.30213} {110.586 -8.1226} {109.428 -7.74066} {108.694 -7.6416} {108.278 -7.76666} {106.454 -7.3549} {106.281 -6.9249} {105.365 -6.85142} {106.052 -5.89592} {107.265 -5.95499} {108.072 -6.34576} {108.487 -6.42198} {108.623 -6.77767}}} {{{134.725 -6.2144} {134.21 -6.89524} {134.113 -6.14247} {134.29 -5.78306} {134.5 -5.44504} {134.727 -5.73758} {134.725 -6.2144}}} {{{127.249 -3.45907} {126.875 -3.79098} {126.184 -3.60738} {125.989 -3.17727} {127.001 -3.12932} {127.249 -3.45907}}} {{{130.471 -3.09376} {130.835 -3.85847} {129.991 -3.4463} {129.155 -3.36264} {128.591 -3.42868} {127.899 -3.39344} {128.136 -2.84365} {129.371 -2.80215} {130.471 -3.09376}}} {{{134.143 -1.15187} {134.423 -2.76918} {135.458 -3.36775} {136.293 -2.30704} {137.441 -1.70351} {138.33 -1.70269} {139.185 -2.0513} {139.927 -2.40905} {141 -2.60015} {141.017 -5.85902} {141.034 -9.11789} {140.143 -8.29717} {139.128 -8.09604} {138.881 -8.38094} {137.614 -8.41168} {138.039 -7.59788} {138.669 -7.32022} {138.408 -6.23285} {137.928 -5.39337} {135.989 -4.54654} {135.165 -4.46293} {133.663 -3.53885} {133.368 -4.02482} {132.984 -4.11298} {132.757 -3.74628} {132.754 -3.31179} {131.99 -2.82055} {133.067 -2.46042} {133.78 -2.47985} {133.696 -2.21454} {132.232 -2.21253} {131.836 -1.61716} {130.943 -1.43252} {130.52 -0.93772} {131.868 -0.695461} {132.38 -0.369538} {133.986 -0.78021} {134.143 -1.15187}}} {{{125.241 1.41984} {124.437 0.427881} {123.686 0.235593} {122.723 0.431137} {121.057 0.381217} {120.183 0.237247} {120.041 -0.519658} {120.936 -1.40891} {121.476 -0.955962} {123.341 -0.615673} {123.258 -1.07621} {122.823 -0.930951} {122.389 -1.51686} {121.508 -1.90448} {122.455 -3.18606} {122.272 -3.5295} {123.171 -4.68369} {123.162 -5.3406} {122.629 -5.63459} {122.236 -5.28293} {122.72 -4.46417} {121.738 -4.85133} {121.489 -4.57455} {121.619 -4.18848} {120.898 -3.60211} {120.972 -2.62764} {120.305 -2.9316} {120.39 -4.09758} {120.431 -5.52824} {119.797 -5.6734} {119.367 -5.37988} {119.654 -4.45942} {119.499 -3.49441} {119.078 -3.48702} {118.768 -2.802} {119.181 -2.1471} {119.323 -1.35315} {119.826 0.154254} {120.036 0.566477} {120.886 1.30922} {121.667 1.01394} {122.928 0.875192} {124.078 0.917102} {125.066 1.64326} {125.241 1.41984}}} {{{128.688 1.13239} {128.636 0.258486} {128.12 0.356413} {127.968 -0.252077} {128.38 -0.780004} {128.1 -0.899996} {127.696 -0.266598} {127.399 1.01172} {127.601 1.81069} {127.932 2.1746} {128.004 1.62853} {128.595 1.54081} {128.688 1.13239}}} {{{117.876 1.82764} {118.997 0.902219} {117.812 0.784242} {117.478 0.102475} {117.522 -0.803723} {116.56 -1.48766} {116.534 -2.48352} {116.148 -4.01273} {116.001 -3.65704} {114.865 -4.10698} {114.469 -3.4957} {113.756 -3.43917} {113.257 -3.11878} {112.068 -3.47839} {111.703 -2.99444} {111.048 -3.04943} {110.224 -2.93403} {110.071 -1.59287} {109.572 -1.31491} {109.092 -0.459507} {108.953 0.415375} {109.069 1.34193} {109.663 2.00647} {109.83 1.33814} {110.514 0.773131} {111.159 0.976478} {111.798 0.904441} {112.38 1.41012} {112.86 1.49779} {113.806 1.21755} {114.621 1.43069} {115.134 2.82148} {115.519 3.16924} {115.866 4.30656} {117.015 4.30609} {117.882 4.13755} {117.313 3.23443} {118.048 2.28769} {117.876 1.82764}}} {{{105.818 -5.85236} {104.71 -5.87328} {103.868 -5.03731} {102.584 -4.22026} {102.156 -3.61415} {101.399 -2.79978} {100.903 -2.05026} {100.142 -0.650348} {99.2637 0.183142} {98.97 1.04288} {98.6014 1.82351} {97.6996 2.45318} {97.1769 3.30879} {96.424 3.86886} {95.3809 4.97078} {95.293 5.47982} {95.9369 5.43951} {97.4849 5.24632} {98.3692 4.26837} {99.1426 3.59035} {99.694 3.17433} {100.641 2.09938} {101.658 2.0837} {102.498 1.3987} {103.077 0.561361} {103.838 0.104542} {103.438 -0.711946} {104.011 -1.05921} {104.37 -1.08484} {104.539 -1.78237} {104.888 -2.34043} {105.622 -2.42884} {106.109 -3.06178} {105.857 -4.30552} {105.818 -5.85236}}}}
India,{{{77.8375 35.494} {78.9123 34.3219} {78.8111 33.5062} {79.2089 32.9944} {79.1761 32.4838} {78.4584 32.6182} {78.7389 31.5159} {79.7214 30.8827} {81.1113 30.1835} {80.4767 29.7299} {80.0884 28.7945} {81.0572 28.4161} {82 27.9255} {83.3042 27.3645} {84.675 27.2349} {85.2518 26.7262} {86.0244 26.631} {87.2275 26.3979} {88.0602 26.4146} {88.1748 26.8104} {88.0431 27.4458} {88.1204 27.8765} {88.7303 28.0869} {88.8142 27.2993} {88.8356 27.099} {89.7445 26.7194} {90.3733 26.8757} {91.2175 26.8086} {92.0335 26.8383} {92.1037 27.4526} {91.6967 27.7717} {92.5031 27.8969} {93.4133 28.6406} {94.566 29.2774} {95.4048 29.0317} {96.1177 29.4528} {96.5866 28.831} {96.2488 28.411} {97.3271 28.2616} {97.4026 27.8825} {97.052 27.6991} {97.134 27.0838} {96.4194 27.2646} {95.1248 26.5736} {95.1552 26.0013} {94.6032 25.1625} {94.5527 24.6752} {94.1067 23.8507} {93.3252 24.0786} {93.2863 23.0437} {93.0603 22.7031} {93.1661 22.2785} {92.6727 22.0412} {92.146 23.6275} {91.8699 23.6243} {91.7065 22.9853} {91.159 23.5035} {91.4677 24.0726} {91.9151 24.1304} {92.3762 24.9767} {91.7996 25.1474} {90.8722 25.1326} {89.9207 25.2697} {89.8325 25.9651} {89.3551 26.0144} {88.563 26.4465} {88.2098 25.7681} {88.9316 25.2387} {88.3064 24.8661} {88.0844 24.5017} {88.6999 24.2337} {88.5298 23.6311} {88.8763 22.8791} {89.032 22.0557} {88.8888 21.6906} {88.2085 21.7032} {86.9757 21.4956} {87.0332 20.7433} {86.4994 20.1516} {85.0603 19.4786} {83.941 18.302} {83.1892 17.6712} {82.1928 17.0166} {82.1912 16.5567} {81.6927 16.3102} {80.792 15.952} {80.3249 15.8992} {80.0251 15.1364} {80.2333 13.8358} {80.2863 13.0063} {79.8625 12.0562} {79.858 10.3573} {79.3405 10.3089} {78.8853 9.54614} {79.1897 9.21654} {78.2779 8.93305} {77.9412 8.25296} {77.5399 7.96553} {76.593 8.89928} {76.1301 10.2996} {75.7465 11.3083} {75.3961 11.7812} {74.8648 12.7419} {74.6167 13.9926} {74.4439 14.6172} {73.5342 15.9907} {73.1199 17.9286} {72.8209 19.2082} {72.8245 20.4195} {72.6305 21.356} {71.1753 20.7574} {70.4705 20.8773} {69.1641 22.0893} {69.6449 22.4508} {69.3496 22.8432} {68.1766 23.692} {68.8426 24.3591} {71.0432 24.3565} {70.8447 25.2151} {70.2829 25.7222} {70.1689 26.4919} {69.5144 26.941} {70.6165 27.9892} {71.7777 27.9132} {72.8238 28.9616} {73.4506 29.9764} {74.4214 30.9798} {74.4059 31.6926} {75.2586 32.2711} {74.4516 32.7649} {74.1043 33.4415} {73.7499 34.3177} {74.2402 34.7489} {75.7571 34.5049} {76.8717 34.6535} {77.8375 35.494}}}
