Id,X,Y,Z,A,B,Group,D,E,F,G,H
153,-0.8967,-0.4314,0.1005,0.01,1,A,1,0,0,0,0.95
154,-0.8913,-0.3554,0.098,0.01,1,A,1,0,0,0,0.95
155,-0.8914,-0.1851,0.0949,0.01,1,A,1,0,0,0,0.95
156,-0.8996,-0.1426,0.1093,0.01,1,A,1,0,0,0,0.94
157,-0.8972,-0.0854,0.1108,0.01,1,A,1,0,0,0,0.94
158,-0.8984,-0.0229,0.1177,0.01,1,A,1,0,0,0,0.94
159,-0.8931,0.0802,0.1075,0.01,1,A,1,0,0,0,0.94
160,-0.8968,0.1697,0.104,0.01,1,A,1,0,0,0,0.95
161,-0.898,0.3122,0.1224,0.01,1,A,1,0,0,0,0.94
162,-0.8961,0.3494,0.1244,0.02,1,A,1,0,0,0,0.93
163,-0.8968,0.586,0.0504,0,1,A,1,0,0,0,0.97
164,-0.894,0.6422,0.0281,0,1,A,1,0,0,0,0.98
165,-0.8901,0.7674,-0.0025,0,1,A,1,0,0,0,1
166,-0.8886,-0.764,0.0016,0,1,A,1,0,0,0,1
167,-0.8857,-0.6861,0.0353,0,1,A,1,0,0,0,0.98
168,-0.8938,-0.5552,0.1169,0.01,1,A,1,0,0,0,0.94
169,-0.8847,-0.3243,0.1095,0.01,1,A,1,0,0,0,0.94
170,-0.8917,-0.2234,0.0944,0.01,1,A,1,0,0,0,0.95
171,-0.8931,-0.0801,0.1191,0.01,1,A,1,0,0,0,0.94
172,-0.8926,-0.0044,0.1243,0.02,1,A,1,0,0,0,0.93
173,-0.8872,0.1911,0.1202,0.01,1,A,1,0,0,0,0.94
174,-0.8894,0.2906,0.1261,0.02,1,A,1,0,0,0,0.93
175,-0.8852,0.5889,0.0629,0,1,A,1,0,0,0,0.97
176,-0.8856,0.6672,0.0251,0,1,A,1,0,0,0,0.98
177,-0.8807,-0.7819,-0.0021,0,1,A,1,0,0,0,1
178,-0.8849,-0.7661,0.0009,0,1,A,1,0,0,0,1
179,-0.8818,-0.6997,0.0388,0,1,A,1,0,0,0,0.98
180,-0.8832,-0.5668,0.1243,0.02,1,A,1,0,0,0,0.93
181,-0.8884,-0.4362,0.1301,0.02,1,A,1,0,0,0,0.93
182,-0.889,-0.3852,0.1218,0.01,1,A,1,0,0,0,0.94
183,-0.8884,-0.2768,0.1082,0.01,1,A,1,0,0,0,0.94
184,-0.8871,-0.2229,0.0996,0.01,1,A,1,0,0,0,0.95
185,-0.8815,-0.0911,0.1232,0.02,1,A,1,0,0,0,0.94
186,-0.8885,0.001,0.1298,0.02,1,A,1,0,0,0,0.93
187,-0.8886,0.0541,0.1205,0.01,1,A,1,0,0,0,0.94
188,-0.8855,0.1163,0.1265,0.02,1,A,1,0,0,0,0.93
189,-0.8802,0.2884,0.1413,0.02,1,A,1,0,0,0,0.93
190,-0.888,0.3219,0.1441,0.02,1,A,1,0,0,0,0.93
191,-0.889,0.4789,0.1157,0.01,1,A,1,0,0,0,0.94
192,-0.8863,0.5304,0.0939,0.01,1,A,1,0,0,0,0.95
193,-0.8859,0.6284,0.0467,0,1,A,1,0,0,0,0.97
194,-0.881,0.6805,0.0253,0,1,A,1,0,0,0,0.98
195,-0.887,0.7762,-0.0042,0,1,A,1,0,0,0,1
196,-0.8769,-0.7832,-0.0011,0,1,A,1,0,0,0,1
197,-0.8809,-0.7275,0.0189,0,1,A,1,0,0,0,0.99
198,-0.8826,-0.7046,0.0355,0,1,A,1,0,0,0,0.98
199,-0.8776,-0.3636,0.1281,0.02,1,A,1,0,0,0,0.93
200,-0.878,-0.3442,0.1279,0.02,1,A,1,0,0,0,0.93
201,-0.8842,-0.2669,0.1129,0.01,1,A,1,0,0,0,0.94
202,-0.8812,-0.2162,0.1174,0.01,1,A,1,0,0,0,0.94
203,-0.8804,-0.1442,0.1311,0.02,1,A,1,0,0,0,0.93
204,-0.8844,-0.0874,0.1369,0.02,1,A,1,0,0,0,0.93
205,-0.881,0.101,0.1401,0.02,1,A,1,0,0,0,0.93
206,-0.8804,0.179,0.1331,0.02,1,A,1,0,0,0,0.93
207,-0.8765,0.2324,0.1328,0.02,1,A,1,0,0,0,0.93
208,-0.8846,0.296,0.1525,0.02,1,A,1,0,0,0,0.92
209,-0.8759,0.3765,0.1566,0.02,1,A,1,0,0,0,0.92
210,-0.8831,0.4267,0.1528,0.02,1,A,1,0,0,0,0.92
211,-0.8779,0.6001,0.0578,0,1,A,1,0,0,0,0.97
212,-0.8835,0.6905,0.0176,0,1,A,1,0,0,0,0.99
213,-0.8763,-0.7928,0.0019,0,1,A,1,0,0,0,1
214,-0.8748,-0.7707,0.0094,0,1,A,1,0,0,0,0.99
215,-0.878,-0.7274,0.0317,0,1,A,1,0,0,0,0.98
216,-0.8776,-0.6378,0.0955,0.01,1,A,1,0,0,0,0.95
217,-0.8765,-0.4695,0.1596,0.03,1,A,1,0,0,0,0.92
218,-0.8738,-0.3719,0.1334,0.02,1,A,1,0,0,0,0.93
219,-0.8785,-0.2245,0.1209,0.01,1,A,1,0,0,0,0.94
220,-0.871,-0.1759,0.1192,0.02,1,A,1,0,0,0,0.94
221,-0.8751,-0.0993,0.145,0.02,1,A,1,0,0,0,0.92
222,-0.8769,0.0033,0.1473,0.02,1,A,1,0,0,0,0.92
223,-0.8787,0.1266,0.1496,0.02,1,A,1,0,0,0,0.92
224,-0.8751,0.1899,0.137,0.02,1,A,1,0,0,0,0.93
225,-0.877,0.2698,0.1509,0.02,1,A,1,0,0,0,0.92
226,-0.8782,0.3517,0.167,0.03,1,A,1,0,0,0,0.91
227,-0.8769,0.4377,0.1617,0.03,1,A,1,0,0,0,0.92
228,-0.8735,0.5186,0.1234,0.01,1,A,1,0,0,0,0.94
229,-0.8762,0.7488,0.0039,0,1,A,1,0,0,0,1
230,-0.8726,0.7829,0.0024,0,1,A,1,0,0,0,1
231,-0.8734,-0.7824,0.0085,0,1,A,1,0,0,0,0.99
232,-0.8699,-0.7638,0.0104,0,1,A,1,0,0,0,0.99
233,-0.8662,-0.7078,0.0568,0,1,A,1,0,0,0,0.97
234,-0.8704,-0.646,0.095,0.01,1,A,1,0,0,0,0.95
235,-0.8668,-0.5467,0.1677,0.03,1,A,1,0,0,0,0.91
236,-0.8688,-0.5262,0.1868,0.03,1,A,1,0,0,0,0.9
237,-0.8745,-0.3435,0.1422,0.02,1,A,1,0,0,0,0.93
238,-0.8731,-0.3226,0.1462,0.02,1,A,1,0,0,0,0.92
239,-0.8711,-0.2229,0.1287,0.02,1,A,1,0,0,0,0.93
240,-0.8726,-0.1934,0.1249,0.02,1,A,1,0,0,0,0.93
241,-0.87,-0.1182,0.1482,0.02,1,A,1,0,0,0,0.92
242,-0.874,-0.0551,0.1633,0.03,1,A,1,0,0,0,0.92
243,-0.8657,-0.0059,0.1575,0.03,1,A,1,0,0,0,0.92
244,-0.8721,0.0343,0.1561,0.02,1,A,1,0,0,0,0.92
245,-0.8698,0.0841,0.1495,0.02,1,A,1,0,0,0,0.92
246,-0.8727,0.1471,0.1571,0.02,1,A,1,0,0,0,0.92
247,-0.8682,0.2671,0.1618,0.03,1,A,1,0,0,0,0.92
248,-0.8685,0.2856,0.1738,0.03,1,A,1,0,0,0,0.91
249,-0.8697,0.366,0.1829,0.03,1,A,1,0,0,0,0.91
250,-0.8676,0.3999,0.1728,0.03,1,A,1,0,0,0,0.91
251,-0.8651,0.5135,0.1294,0.02,1,A,1,0,0,0,0.93
252,-0.8701,0.5417,0.1141,0.01,1,A,1,0,0,0,0.94
253,-0.8663,0.6159,0.0688,0,1,A,1,0,0,0,0.96
254,-0.8733,0.6748,0.0294,0,1,A,1,0,0,0,0.98
255,-0.8719,0.7892,-0.0013,0,1,A,1,0,0,0,1
256,-0.8625,-0.8095,0.0009,0,1,A,1,0,0,0,1
257,-0.8684,-0.7733,0.0147,0,1,A,1,0,0,0,0.99
258,-0.8693,-0.7377,0.0342,0,1,A,1,0,0,0,0.98
259,-0.8646,-0.5581,0.1764,0.03,1,A,1,0,0,0,0.91
260,-0.8681,-0.5199,0.1966,0.04,1,A,1,0,0,0,0.9
261,-0.8633,-0.3256,0.1514,0.02,1,A,1,0,0,0,0.92
262,-0.8637,-0.2457,0.1375,0.02,1,A,1,0,0,0,0.93
263,-0.8635,-0.1606,0.1487,0.02,1,A,1,0,0,0,0.92
264,-0.8644,-0.1426,0.1544,0.02,1,A,1,0,0,0,0.92
265,-0.8631,-0.0412,0.1747,0.03,1,A,1,0,0,0,0.91
266,-0.8641,0.0165,0.161,0.03,1,A,1,0,0,0,0.92
267,-0.8675,0.0817,0.1539,0.02,1,A,1,0,0,0,0.92
268,-0.8601,0.171,0.1543,0.02,1,A,1,0,0,0,0.92
269,-0.8677,0.2347,0.1614,0.03,1,A,1,0,0,0,0.92
270,-0.8658,0.2676,0.168,0.03,1,A,1,0,0,0,0.91
271,-0.8604,0.3834,0.1952,0.04,1,A,1,0,0,0,0.9
272,-0.8608,0.4153,0.1858,0.03,1,A,1,0,0,0,0.9
273,-0.8693,0.6086,0.0794,0.01,1,A,1,0,0,0,0.96
274,-0.8676,0.6308,0.0562,0,1,A,1,0,0,0,0.97
275,-0.8638,0.7855,-0.0019,0,1,A,1,0,0,0,1
276,-0.8657,0.8104,-0.0049,0,1,A,1,0,0,0,1
277,-0.8573,-0.7749,0.0105,0,1,A,1,0,0,0,0.99
278,-0.8571,-0.7411,0.0403,0,1,A,1,0,0,0,0.98
279,-0.8578,-0.6123,0.1471,0.02,1,A,1,0,0,0,0.92
280,-0.8585,-0.5333,0.1977,0.04,1,A,1,0,0,0,0.9
281,-0.8591,-0.4698,0.1925,0.04,1,A,1,0,0,0,0.9
282,-0.8565,-0.4178,0.1589,0.03,1,A,1,0,0,0,0.92
283,-0.8567,-0.3,0.1651,0.03,1,A,1,0,0,0,0.91
284,-0.8625,-0.1743,0.1599,0.02,1,A,1,0,0,0,0.92
285,-0.8637,-0.1081,0.1673,0.03,1,A,1,0,0,0,0.91
286,-0.8603,-0.0656,0.1852,0.03,1,A,1,0,0,0,0.9
287,-0.859,-0.0066,0.1808,0.03,1,A,1,0,0,0,0.91
288,-0.8623,0.0207,0.1685,0.03,1,A,1,0,0,0,0.91
289,-0.8582,0.1164,0.1744,0.03,1,A,1,0,0,0,0.91
290,-0.8592,0.1403,0.1742,0.03,1,A,1,0,0,0,0.91
291,-0.8635,0.239,0.1765,0.03,1,A,1,0,0,0,0.91
292,-0.8549,0.2937,0.2027,0.04,1,A,1,0,0,0,0.9
293,-0.8553,0.3823,0.2068,0.04,1,A,1,0,0,0,0.89
294,-0.8551,0.4666,0.1875,0.04,1,A,1,0,0,0,0.9
295,-0.8547,0.6277,0.0683,0.01,1,A,1,0,0,0,0.96
296,-0.8624,0.7116,0.024,0,1,A,1,0,0,0,0.99
297,-0.8593,0.8083,0.0049,0,1,A,1,0,0,0,1
298,-0.8539,-0.8195,-0.0011,0,1,A,1,0,0,0,1
299,-0.8514,-0.776,0.0196,0,1,A,1,0,0,0,0.99
300,-0.8559,-0.7355,0.0513,0,1,A,1,0,0,0,0.97
301,-0.8518,-0.5316,0.2077,0.04,1,A,1,0,0,0,0.89
302,-0.8557,-0.497,0.2156,0.05,1,A,1,0,0,0,0.89
303,-0.8526,-0.3937,0.1694,0.03,1,A,1,0,0,0,0.91
304,-0.8544,-0.2776,0.1649,0.03,1,A,1,0,0,0,0.91
305,-0.8546,-0.1351,0.1679,0.03,1,A,1,0,0,0,0.91
306,-0.8557,-0.1159,0.1705,0.03,1,A,1,0,0,0,0.91
307,-0.8517,-0.0463,0.2015,0.04,1,A,1,0,0,0,0.9
308,-0.852,0.0088,0.1853,0.03,1,A,1,0,0,0,0.9
309,-0.8594,0.0935,0.1749,0.03,1,A,1,0,0,0,0.91
310,-0.8559,0.1431,0.1762,0.03,1,A,1,0,0,0,0.91
311,-0.8585,0.264,0.1896,0.04,1,A,1,0,0,0,0.9
312,-0.8498,0.2898,0.2096,0.04,1,A,1,0,0,0,0.89
313,-0.8561,0.3902,0.2113,0.04,1,A,1,0,0,0,0.89
314,-0.8554,0.4477,0.21,0.04,1,A,1,0,0,0,0.89
315,-0.8565,0.5731,0.114,0.01,1,A,1,0,0,0,0.94
316,-0.8593,0.6404,0.0605,0,1,A,1,0,0,0,0.97
317,-0.8522,0.7872,0.0051,0,1,A,1,0,0,0,0.99
318,-0.8581,0.8191,-0.003,0,1,A,1,0,0,0,1
319,-0.8519,-0.8067,0.0038,0,1,A,1,0,0,0,1
320,-0.852,-0.7774,0.0161,0,1,A,1,0,0,0,0.99
321,-0.8511,-0.5752,0.1906,0.04,1,A,1,0,0,0,0.9
322,-0.8474,-0.5246,0.2158,0.05,1,A,1,0,0,0,0.89
323,-0.848,-0.4662,0.2131,0.05,1,A,1,0,0,0,0.89
324,-0.8459,-0.4475,0.2005,0.04,1,A,1,0,0,0,0.9
325,-0.8467,-0.3697,0.1803,0.03,1,A,1,0,0,0,0.91
326,-0.8528,-0.3137,0.1899,0.04,1,A,1,0,0,0,0.9
327,-0.8545,-0.2236,0.1618,0.03,1,A,1,0,0,0,0.92
328,-0.8539,-0.1672,0.1737,0.03,1,A,1,0,0,0,0.91
329,-0.8497,-0.1235,0.1757,0.03,1,A,1,0,0,0,0.91
330,-0.8492,-0.095,0.1963,0.04,1,A,1,0,0,0,0.9
331,-0.8528,-0.0041,0.2011,0.04,1,A,1,0,0,0,0.9
332,-0.8516,0.0357,0.1822,0.03,1,A,1,0,0,0,0.91
333,-0.8472,0.1249,0.1872,0.04,1,A,1,0,0,0,0.9
334,-0.8524,0.1429,0.1848,0.03,1,A,1,0,0,0,0.9
335,-0.8541,0.2592,0.197,0.04,1,A,1,0,0,0,0.9
336,-0.8493,0.32,0.2251,0.05,1,A,1,0,0,0,0.88
337,-0.8456,0.4135,0.2201,0.05,1,A,1,0,0,0,0.89
338,-0.8517,0.4399,0.2177,0.05,1,A,1,0,0,0,0.89
339,-0.8503,0.5607,0.1295,0.02,1,A,1,0,0,0,0.93
340,-0.8527,0.5951,0.1053,0.01,1,A,1,0,0,0,0.94
341,-0.8531,0.7912,0.0017,0,1,A,1,0,0,0,1
342,-0.851,0.8197,0.0046,0,1,A,1,0,0,0,1
343,-0.8422,-0.8065,0.0044,0,1,A,1,0,0,0,1
344,-0.8486,-0.7662,0.0246,0,1,A,1,0,0,0,0.99
345,-0.8466,-0.6164,0.1909,0.04,1,A,1,0,0,0,0.9
346,-0.845,-0.5663,0.2063,0.04,1,A,1,0,0,0,0.89
347,-0.8459,-0.4734,0.2304,0.05,1,A,1,0,0,0,0.88
348,-0.8455,-0.4208,0.1944,0.04,1,A,1,0,0,0,0.9
349,-0.8471,-0.3359,0.2027,0.04,1,A,1,0,0,0,0.9
350,-0.8485,-0.2702,0.1892,0.03,1,A,1,0,0,0,0.9
351,-0.8471,-0.1644,0.1868,0.03,1,A,1,0,0,0,0.9
352,-0.8485,-0.1368,0.1838,0.03,1,A,1,0,0,0,0.91
353,-0.8441,-0.0919,0.2042,0.04,1,A,1,0,0,0,0.89
354,-0.846,-0.0528,0.2092,0.05,1,A,1,0,0,0,0.89
355,-0.8473,0.0091,0.1914,0.04,1,A,1,0,0,0,0.9
356,-0.843,0.0366,0.1948,0.04,1,A,1,0,0,0,0.9
357,-0.8467,0.1039,0.1867,0.04,1,A,1,0,0,0,0.9
358,-0.8401,0.124,0.1912,0.04,1,A,1,0,0,0,0.9
359,-0.8425,0.1763,0.195,0.04,1,A,1,0,0,0,0.9
360,-0.8451,0.2527,0.2103,0.04,1,A,1,0,0,0,0.89
361,-0.8467,0.3878,0.2333,0.05,1,A,1,0,0,0,0.88
362,-0.8444,0.4081,0.2289,0.05,1,A,1,0,0,0,0.88
363,-0.8485,0.4526,0.2219,0.05,1,A,1,0,0,0,0.89
364,-0.8398,0.4992,0.211,0.04,1,A,1,0,0,0,0.89
365,-0.8466,0.7761,0.0125,0,1,A,1,0,0,0,0.99
366,-0.8437,0.8036,0.0036,0,1,A,1,0,0,0,1
367,-0.8376,-0.8164,0.0041,0,1,A,1,0,0,0,1
368,-0.8381,-0.8021,0.0132,0,1,A,1,0,0,0,0.99
369,-0.8359,-0.6059,0.2043,0.04,1,A,1,0,0,0,0.89
370,-0.8349,-0.5772,0.2094,0.04,1,A,1,0,0,0,0.89
371,-0.8417,-0.4976,0.2336,0.06,1,A,1,0,0,0,0.88
372,-0.8416,-0.4681,0.2315,0.05,1,A,1,0,0,0,0.88
373,-0.8376,-0.3408,0.2103,0.05,1,A,1,0,0,0,0.89
374,-0.8417,-0.3167,0.2231,0.05,1,A,1,0,0,0,0.89
375,-0.8389,-0.2107,0.1855,0.03,1,A,1,0,0,0,0.9
