From,To,Value
StKki,fmbYwf,62
StKki,hTffJ,16
StKki,OEpg,33
StKki,fjzwKn,16
StKki,QgvksO,40
StKki,uqXWft,5
StKki,ZRZK,61
StKki,WmCdo,87
StKki,YmQv,69
StKki,WOXi,9
StKki,CPw,49
StKki,Hbt,82
StKki,uaP,65
DhEaV,lTWJXq,5
DhEaV,vBBQUp,13
DhEaV,vsyxmH,63
DhEaV,GSLiT,45
DhEaV,oGAj,69
DhEaV,JzZ,82
DhEaV,KNN,63
DhEaV,RLi,76
DhEaV,fmbYwf,14
DhEaV,hTffJ,88
DhEaV,OEpg,35
jNh,lTWJXq,74
jNh,vBBQUp,72
jNh,vsyxmH,2
jNh,GSLiT,43
jNh,oGAj,68
jNh,JzZ,37
jNh,KNN,76
jNh,RLi,22
jNh,fmbYwf,23
jNh,hTffJ,36
jNh,OEpg,35
jNh,fjzwKn,70
jNh,QgvksO,97
jNh,uqXWft,16
jNh,ZRZK,82
jNh,WmCdo,87
jNh,YmQv,55
jNh,WOXi,53
jNh,CPw,37
jNh,Hbt,17
jNh,uaP,84
jNh,PNiwzS,4
jNh,nVGx,100
jNh,yjogYu,52
jNh,TcBF,19
jNh,Idup,15
jNh,iZP,29
vcI,lTWJXq,51
vcI,vBBQUp,81
vcI,vsyxmH,9
vcI,GSLiT,46
vcI,oGAj,63
vcI,JzZ,68
vcI,KNN,7
vcI,RLi,22
vcI,fmbYwf,15
vcI,hTffJ,13
vcI,OEpg,58
vcI,fjzwKn,3
vcI,QgvksO,98
vcI,uqXWft,90
vcI,ZRZK,72
vcI,WmCdo,71
vcI,YmQv,33
QPH,lTWJXq,39
QPH,vBBQUp,9
QPH,vsyxmH,88
QPH,GSLiT,10
QPH,oGAj,15
QPH,JzZ,65
QPH,KNN,52
QPH,RLi,8
QPH,fmbYwf,43
QPH,hTffJ,25
QPH,OEpg,97
QPH,fjzwKn,58
QPH,QgvksO,58
QPH,uqXWft,99
QPH,ZRZK,31
QPH,WmCdo,70
QPH,YmQv,74
QPH,WOXi,85
AjfgqI,lTWJXq,3
AjfgqI,vBBQUp,96
AjfgqI,vsyxmH,83
AjfgqI,GSLiT,21
AjfgqI,oGAj,24
AjfgqI,JzZ,90
AjfgqI,KNN,19
AjfgqI,RLi,19
AjfgqI,fmbYwf,11
AjfgqI,hTffJ,75
AjfgqI,OEpg,39
AjfgqI,fjzwKn,64
AjfgqI,QgvksO,55
AjfgqI,uqXWft,49
AjfgqI,ZRZK,76
AjfgqI,WmCdo,19
AjfgqI,YmQv,80
AjfgqI,WOXi,93
AjfgqI,CPw,45
wpYN,lTWJXq,43
wpYN,vBBQUp,23
wpYN,vsyxmH,58
wpYN,GSLiT,10
wpYN,oGAj,87
wpYN,JzZ,72
wpYN,KNN,55
wpYN,RLi,16
wpYN,fmbYwf,34
wpYN,hTffJ,6
wpYN,OEpg,9
wpYN,fjzwKn,11
wpYN,QgvksO,54
wpYN,uqXWft,43
wpYN,ZRZK,39
wpYN,WmCdo,66
wpYN,YmQv,71
wpYN,WOXi,46
wpYN,CPw,95
wpYN,Hbt,2
wpYN,uaP,5
tjuOA,lTWJXq,43
tjuOA,vBBQUp,52
tjuOA,vsyxmH,52
tjuOA,GSLiT,51
tjuOA,oGAj,99
tjuOA,JzZ,70
tjuOA,KNN,24
tjuOA,RLi,65
tjuOA,fmbYwf,10
tjuOA,hTffJ,71
tjuOA,OEpg,44
tjuOA,fjzwKn,24
tjuOA,QgvksO,45
tjuOA,uqXWft,51
tjuOA,ZRZK,15
tjuOA,WmCdo,81
tjuOA,YmQv,1
tjuOA,WOXi,100
tjuOA,CPw,93
tjuOA,Hbt,39
tjuOA,uaP,96
tjuOA,PNiwzS,42
tjuOA,nVGx,4
tjuOA,yjogYu,34
tjuOA,TcBF,6
tjuOA,Idup,78
tjuOA,iZP,58
tjuOA,sBiRe,22
zlD,lTWJXq,74
zlD,vBBQUp,64
zlD,vsyxmH,74
zlD,GSLiT,16
zlD,oGAj,21
zlD,JzZ,33
zlD,KNN,93
zlD,RLi,91
zlD,fmbYwf,82
zlD,hTffJ,30
zlD,OEpg,37
zlD,fjzwKn,51
NRAN,lTWJXq,74
NRAN,vBBQUp,3
NRAN,vsyxmH,77
NRAN,GSLiT,32
NRAN,oGAj,17
NRAN,JzZ,50
NapxqB,lTWJXq,17
NapxqB,vBBQUp,59
NapxqB,vsyxmH,71
NapxqB,GSLiT,57
NapxqB,oGAj,38
NapxqB,JzZ,10
NapxqB,KNN,63
NapxqB,RLi,99
NapxqB,fmbYwf,82
NapxqB,hTffJ,65
NapxqB,OEpg,1
NapxqB,fjzwKn,60
NapxqB,QgvksO,20
NapxqB,uqXWft,83
NapxqB,ZRZK,11
NapxqB,WmCdo,64
NapxqB,YmQv,45
NapxqB,WOXi,12
NapxqB,CPw,84
NapxqB,Hbt,98
NapxqB,uaP,18
NapxqB,PNiwzS,41
NapxqB,nVGx,99
NapxqB,yjogYu,42
NapxqB,TcBF,35
NapxqB,Idup,99
NapxqB,iZP,63
NapxqB,sBiRe,27
gbq,lTWJXq,86
gbq,vBBQUp,20
gbq,vsyxmH,22
gbq,GSLiT,73
gbq,oGAj,67
gbq,JzZ,6
gbq,KNN,80
gbq,RLi,50
sBiRe,lTWJXq,44
sBiRe,vBBQUp,64
iZP,lTWJXq,49
iZP,vBBQUp,87
iZP,vsyxmH,85
iZP,GSLiT,96
iZP,oGAj,35
iZP,JzZ,34
iZP,KNN,19
iZP,RLi,77
iZP,fmbYwf,16
iZP,hTffJ,15
iZP,OEpg,22
iZP,fjzwKn,12
iZP,QgvksO,85
iZP,uqXWft,16
iZP,ZRZK,33
iZP,WmCdo,76
iZP,YmQv,22
iZP,WOXi,28
iZP,CPw,49
iZP,Hbt,16
iZP,uaP,42
iZP,PNiwzS,45
Idup,lTWJXq,43
Idup,vBBQUp,51
Idup,vsyxmH,27
TcBF,lTWJXq,35
TcBF,vBBQUp,36
TcBF,vsyxmH,22
TcBF,GSLiT,63
TcBF,oGAj,86
TcBF,JzZ,56
TcBF,KNN,1
TcBF,RLi,14
TcBF,fmbYwf,89
TcBF,hTffJ,87
yjogYu,lTWJXq,23
yjogYu,vBBQUp,42
yjogYu,vsyxmH,13
nVGx,lTWJXq,31
nVGx,vBBQUp,21
nVGx,vsyxmH,63
nVGx,GSLiT,20
nVGx,oGAj,89
nVGx,JzZ,95
nVGx,KNN,95
nVGx,RLi,83
nVGx,fmbYwf,9
nVGx,hTffJ,56
nVGx,OEpg,20
nVGx,fjzwKn,14
nVGx,QgvksO,74
nVGx,uqXWft,100
nVGx,ZRZK,22
nVGx,WmCdo,66
nVGx,YmQv,98
PNiwzS,lTWJXq,96
PNiwzS,vBBQUp,81
PNiwzS,vsyxmH,25
PNiwzS,GSLiT,63
PNiwzS,oGAj,87
PNiwzS,JzZ,86
PNiwzS,KNN,70
PNiwzS,RLi,80
PNiwzS,fmbYwf,52
uaP,lTWJXq,58
uaP,vBBQUp,31
uaP,vsyxmH,31
uaP,GSLiT,27
uaP,oGAj,7
Hbt,lTWJXq,55
Hbt,vBBQUp,35
Hbt,vsyxmH,14
Hbt,GSLiT,99
Hbt,oGAj,26
Hbt,JzZ,55
Hbt,KNN,70
Hbt,RLi,3
Hbt,fmbYwf,57
CPw,lTWJXq,20
CPw,vBBQUp,62
CPw,vsyxmH,40
CPw,GSLiT,44
CPw,oGAj,92
CPw,JzZ,23
CPw,KNN,16
CPw,RLi,57
WOXi,lTWJXq,63
WOXi,vBBQUp,59
WOXi,vsyxmH,2
YmQv,lTWJXq,40
YmQv,vBBQUp,58
YmQv,vsyxmH,41
YmQv,GSLiT,5
YmQv,oGAj,16
YmQv,JzZ,50
WmCdo,lTWJXq,8
WmCdo,vBBQUp,18
WmCdo,vsyxmH,84
WmCdo,GSLiT,93
WmCdo,oGAj,28
WmCdo,JzZ,80
WmCdo,KNN,62
WmCdo,RLi,5
WmCdo,fmbYwf,65
ZRZK,lTWJXq,32
ZRZK,vBBQUp,23
ZRZK,vsyxmH,41
ZRZK,GSLiT,6
ZRZK,oGAj,33
ZRZK,JzZ,64
uqXWft,lTWJXq,18
uqXWft,vBBQUp,4
uqXWft,vsyxmH,50
uqXWft,GSLiT,89
uqXWft,oGAj,34
uqXWft,JzZ,22
uqXWft,KNN,2
uqXWft,RLi,92
uqXWft,fmbYwf,19
uqXWft,hTffJ,48
uqXWft,OEpg,87
QgvksO,lTWJXq,17
QgvksO,vBBQUp,86
QgvksO,vsyxmH,5
QgvksO,GSLiT,29
QgvksO,oGAj,23
QgvksO,JzZ,87
QgvksO,KNN,86
QgvksO,RLi,74
QgvksO,fmbYwf,3
QgvksO,hTffJ,45
QgvksO,OEpg,28
QgvksO,fjzwKn,37
fjzwKn,lTWJXq,78
fjzwKn,vBBQUp,56
fjzwKn,vsyxmH,51
fjzwKn,GSLiT,53
fjzwKn,oGAj,57
fjzwKn,JzZ,19
OEpg,lTWJXq,41
OEpg,vBBQUp,62
OEpg,vsyxmH,84
OEpg,GSLiT,63
OEpg,oGAj,60
hTffJ,lTWJXq,17
hTffJ,vBBQUp,26
hTffJ,vsyxmH,90
hTffJ,GSLiT,22
hTffJ,oGAj,32
hTffJ,JzZ,91
hTffJ,KNN,78
hTffJ,RLi,55
fmbYwf,lTWJXq,2
fmbYwf,vBBQUp,27
fmbYwf,vsyxmH,7
fmbYwf,GSLiT,6
fmbYwf,oGAj,97
fmbYwf,JzZ,78
RLi,lTWJXq,93
RLi,vBBQUp,50
RLi,vsyxmH,79
KNN,lTWJXq,81
KNN,vBBQUp,27
JzZ,lTWJXq,48
JzZ,vBBQUp,52
oGAj,lTWJXq,86
oGAj,vBBQUp,97
oGAj,vsyxmH,79
oGAj,GSLiT,28
GSLiT,lTWJXq,17
vsyxmH,lTWJXq,91
vsyxmH,vBBQUp,72
vBBQUp,lTWJXq,78
