# Path,Name,Value
flare/data/DataSource,DataSource,3331.000000
flare/data/DataTable,DataTable,772.000000
flare/data/DataUtil,DataUtil,3322.000000
flare/display/DirtySprite,DirtySprite,8833.000000
flare/display/LineSprite,LineSprite,1732.000000
flare/display/RectSprite,RectSprite,3623.000000
flare/display/TextSprite,TextSprite,10066.000000
flare/flex/FlareVis,FlareVis,4116.000000
flare/physics/DragForce,DragForce,1082.000000
flare/physics/GravityForce,GravityForce,1336.000000
flare/physics/IForce,IForce,319.000000
flare/physics/NBodyForce,NBodyForce,10498.000000
flare/physics/Particle,Particle,2822.000000
flare/physics/Simulation,Simulation,9983.000000
flare/physics/Spring,Spring,2213.000000
flare/physics/SpringForce,SpringForce,1681.000000
flare/query/AggregateExpression,AggregateExpression,1616.000000
flare/query/And,And,1027.000000
flare/query/Arithmetic,Arithmetic,3891.000000
flare/query/Average,Average,891.000000
flare/query/BinaryExpression,BinaryExpression,2893.000000
flare/query/Comparison,Comparison,5103.000000
flare/query/CompositeExpression,CompositeExpression,3677.000000
flare/query/Count,Count,781.000000
flare/query/DateUtil,DateUtil,4141.000000
flare/query/Distinct,Distinct,933.000000
flare/query/Expression,Expression,5130.000000
flare/query/ExpressionIterator,ExpressionIterator,3617.000000
flare/query/Fn,Fn,3240.000000
flare/query/If,If,2732.000000
flare/query/IsA,IsA,2039.000000
flare/query/Literal,Literal,1214.000000
flare/query/Match,Match,3748.000000
flare/query/Maximum,Maximum,843.000000
flare/query/methods/add,add,593.000000
flare/query/methods/and,and,330.000000
flare/query/methods/average,average,287.000000
flare/query/methods/count,count,277.000000
flare/query/methods/distinct,distinct,292.000000
flare/query/methods/div,div,595.000000
flare/query/methods/eq,eq,594.000000
flare/query/methods/fn,fn,460.000000
flare/query/methods/gt,gt,603.000000
flare/query/methods/gte,gte,625.000000
flare/query/methods/iff,iff,748.000000
flare/query/methods/isa,isa,461.000000
flare/query/methods/lt,lt,597.000000
flare/query/methods/lte,lte,619.000000
flare/query/methods/max,max,283.000000
flare/query/methods/min,min,283.000000
flare/query/methods/mod,mod,591.000000
flare/query/methods/mul,mul,603.000000
flare/query/methods/neq,neq,599.000000
flare/query/methods/not,not,386.000000
flare/query/methods/or,or,323.000000
flare/query/methods/orderby,orderby,307.000000
flare/query/methods/range,range,772.000000
flare/query/methods/select,select,296.000000
flare/query/methods/stddev,stddev,363.000000
flare/query/methods/sub,sub,600.000000
flare/query/methods/sum,sum,280.000000
flare/query/methods/update,update,307.000000
flare/query/methods/variance,variance,335.000000
flare/query/methods/where,where,299.000000
flare/query/methods/xor,xor,354.000000
flare/query/methods/_,_,264.000000
flare/query/Minimum,Minimum,843.000000
flare/query/Not,Not,1554.000000
flare/query/Or,Or,970.000000
flare/query/Query,Query,13896.000000
flare/query/Range,Range,1594.000000
flare/query/StringUtil,StringUtil,4130.000000
flare/query/Sum,Sum,791.000000
flare/query/Variable,Variable,1124.000000
flare/query/Variance,Variance,1876.000000
flare/query/Xor,Xor,1101.000000
flare/scale/IScaleMap,IScaleMap,2105.000000
flare/scale/LinearScale,LinearScale,1316.000000
flare/scale/LogScale,LogScale,3151.000000
flare/scale/OrdinalScale,OrdinalScale,3770.000000
flare/scale/QuantileScale,QuantileScale,2435.000000
flare/scale/QuantitativeScale,QuantitativeScale,4839.000000
flare/scale/RootScale,RootScale,1756.000000
flare/scale/Scale,Scale,4268.000000
flare/scale/ScaleType,ScaleType,1821.000000
flare/scale/TimeScale,TimeScale,5833.000000
flare/util/Arrays,Arrays,8258.000000
flare/util/Colors,Colors,10001.000000
flare/util/Dates,Dates,8217.000000
flare/util/Displays,Displays,12555.000000
flare/util/Filter,Filter,2324.000000
flare/util/Geometry,Geometry,10993.000000
flare/util/heap/FibonacciHeap,FibonacciHeap,9354.000000
flare/util/heap/HeapNode,HeapNode,1233.000000
flare/util/IEvaluable,IEvaluable,335.000000
flare/util/IPredicate,IPredicate,383.000000
flare/util/IValueProxy,IValueProxy,874.000000
flare/util/math/DenseMatrix,DenseMatrix,3165.000000
flare/util/math/IMatrix,IMatrix,2815.000000
flare/util/math/SparseMatrix,SparseMatrix,3366.000000
flare/util/Maths,Maths,17705.000000
flare/util/Orientation,Orientation,1486.000000
flare/util/palette/ColorPalette,ColorPalette,6367.000000
flare/util/palette/Palette,Palette,1229.000000
flare/util/palette/ShapePalette,ShapePalette,2059.000000
flare/util/palette/SizePalette,SizePalette,2291.000000
flare/util/Property,Property,5559.000000
flare/util/Shapes,Shapes,19118.000000
flare/util/Sort,Sort,6887.000000
flare/util/Stats,Stats,6557.000000
flare/util/Strings,Strings,22026.000000
flare/vis/axis/Axes,Axes,1302.000000
flare/vis/axis/Axis,Axis,24593.000000
flare/vis/axis/AxisGridLine,AxisGridLine,652.000000
flare/vis/axis/AxisLabel,AxisLabel,636.000000
flare/vis/axis/CartesianAxes,CartesianAxes,6703.000000
flare/vis/controls/AnchorControl,AnchorControl,2138.000000
flare/vis/controls/ClickControl,ClickControl,3824.000000
flare/vis/controls/Control,Control,1353.000000
flare/vis/controls/ControlList,ControlList,4665.000000
flare/vis/controls/DragControl,DragControl,2649.000000
flare/vis/controls/ExpandControl,ExpandControl,2832.000000
flare/vis/controls/HoverControl,HoverControl,4896.000000
flare/vis/controls/IControl,IControl,763.000000
flare/vis/controls/PanZoomControl,PanZoomControl,5222.000000
flare/vis/controls/SelectionControl,SelectionControl,7862.000000
flare/vis/controls/TooltipControl,TooltipControl,8435.000000
flare/vis/data/Data,Data,20544.000000
flare/vis/data/DataList,DataList,19788.000000
flare/vis/data/DataSprite,DataSprite,10349.000000
flare/vis/data/EdgeSprite,EdgeSprite,3301.000000
flare/vis/data/NodeSprite,NodeSprite,19382.000000
flare/vis/data/render/ArrowType,ArrowType,698.000000
flare/vis/data/render/EdgeRenderer,EdgeRenderer,5569.000000
flare/vis/data/render/IRenderer,IRenderer,353.000000
flare/vis/data/render/ShapeRenderer,ShapeRenderer,2247.000000
flare/vis/data/ScaleBinding,ScaleBinding,11275.000000
flare/vis/data/Tree,Tree,7147.000000
flare/vis/data/TreeBuilder,TreeBuilder,9930.000000
flare/vis/events/DataEvent,DataEvent,2313.000000
flare/vis/events/SelectionEvent,SelectionEvent,1880.000000
flare/vis/events/TooltipEvent,TooltipEvent,1701.000000
flare/vis/events/VisualizationEvent,VisualizationEvent,1117.000000
flare/vis/legend/Legend,Legend,20859.000000
flare/vis/legend/LegendItem,LegendItem,4614.000000
flare/vis/legend/LegendRange,LegendRange,10530.000000
flare/vis/operator/distortion/BifocalDistortion,BifocalDistortion,4461.000000
flare/vis/operator/distortion/Distortion,Distortion,6314.000000
flare/vis/operator/distortion/FisheyeDistortion,FisheyeDistortion,3444.000000
flare/vis/operator/encoder/ColorEncoder,ColorEncoder,3179.000000
flare/vis/operator/encoder/Encoder,Encoder,4060.000000
flare/vis/operator/encoder/PropertyEncoder,PropertyEncoder,4138.000000
flare/vis/operator/encoder/ShapeEncoder,ShapeEncoder,1690.000000
flare/vis/operator/encoder/SizeEncoder,SizeEncoder,1830.000000
flare/vis/operator/filter/FisheyeTreeFilter,FisheyeTreeFilter,5219.000000
flare/vis/operator/filter/GraphDistanceFilter,GraphDistanceFilter,3165.000000
flare/vis/operator/filter/VisibilityFilter,VisibilityFilter,3509.000000
flare/vis/operator/IOperator,IOperator,1286.000000
flare/vis/operator/label/Labeler,Labeler,9956.000000
flare/vis/operator/label/RadialLabeler,RadialLabeler,3899.000000
flare/vis/operator/label/StackedAreaLabeler,StackedAreaLabeler,3202.000000
flare/vis/operator/layout/AxisLayout,AxisLayout,6725.000000
flare/vis/operator/layout/BundledEdgeRouter,BundledEdgeRouter,3727.000000
flare/vis/operator/layout/CircleLayout,CircleLayout,9317.000000
flare/vis/operator/layout/CirclePackingLayout,CirclePackingLayout,12003.000000
flare/vis/operator/layout/DendrogramLayout,DendrogramLayout,4853.000000
flare/vis/operator/layout/ForceDirectedLayout,ForceDirectedLayout,8411.000000
flare/vis/operator/layout/IcicleTreeLayout,IcicleTreeLayout,4864.000000
flare/vis/operator/layout/IndentedTreeLayout,IndentedTreeLayout,3174.000000
flare/vis/operator/layout/Layout,Layout,7881.000000
flare/vis/operator/layout/NodeLinkTreeLayout,NodeLinkTreeLayout,12870.000000
flare/vis/operator/layout/PieLayout,PieLayout,2728.000000
flare/vis/operator/layout/RadialTreeLayout,RadialTreeLayout,12348.000000
flare/vis/operator/layout/RandomLayout,RandomLayout,870.000000
flare/vis/operator/layout/StackedAreaLayout,StackedAreaLayout,9121.000000
flare/vis/operator/layout/TreeMapLayout,TreeMapLayout,9191.000000
flare/vis/operator/Operator,Operator,2490.000000
flare/vis/operator/OperatorList,OperatorList,5248.000000
flare/vis/operator/OperatorSequence,OperatorSequence,4190.000000
flare/vis/operator/OperatorSwitch,OperatorSwitch,2581.000000
flare/vis/operator/SortOperator,SortOperator,2023.000000
flare/vis/Visualization,Visualization,16540.000000
