State,State code,County/state name,% of precincts reporting,Votes for Obama,% votes for Obama,Votes for Romney,% votes for Romney,Total votes
"Alabama","AL","Wilcox",100,4867,74.3394,1676,25.5995,6547
"Alabama","AL","Monroe",100,4897,45.8521,5730,53.6517,10680
"Alabama","AL","Coffee",100,4899,24.8491,14638,74.248,19715
"Alabama","AL","Lawrence",100,5055,35.9045,8855,62.8951,14079
"Alabama","AL","DeKalb",100,5235,21.9571,18316,76.8224,23842
"Alabama","AL","Dale",100,5283,28.4782,13105,70.6431,18551
"Alabama","AL","Hale",100,5401,62.5985,3205,37.1465,8628
"Alabama","AL","Sumter",100,5420,77.153,1585,22.5623,7025
"Alabama","AL","Escambia",100,5476,36.9202,9263,62.4528,14832
"Alabama","AL","Lowndes",100,5747,76.433,1754,23.3276,7519
"Alabama","AL","St. Clair",100,5790,16.4934,29001,82.6122,35105
"Alabama","AL","Jackson",100,5817,28.2997,14422,70.163,20555
"Alabama","AL","Barbour",100,5873,51.2523,5539,48.3376,11459
"Alabama","AL","Pike",100,6009,42.7474,7939,56.4772,14057
"Alabama","AL","Marengo",100,6154,53.4712,5321,46.2334,11509
"Alabama","AL","Tallapoosa",100,6252,33.4905,12303,65.9042,18668
"Alabama","AL","Marshall",100,6271,19.3221,25785,79.4485,32455
"Alabama","AL","Clarke",100,6317,45.686,7463,53.9741,13827
"Alabama","AL","Autauga",100,6354,26.5758,17366,72.6337,23909
"Alabama","AL","Walker",100,6551,22.9884,21633,75.9133,28497
"Alabama","AL","Chambers",100,6853,47.0608,7596,52.1632,14562
"Alabama","AL","Elmore",100,8940,25.2257,26223,73.9927,35440
"Alabama","AL","Macon",100,9045,87.0968,1322,12.7299,10385
"Alabama","AL","Colbert",100,9160,39.1888,13931,59.6004,23374
"Alabama","AL","Limestone",100,9809,27.7043,25263,71.3523,35406
"Alabama","AL","Russell",100,10495,55.6144,8276,43.8557,18871
"Alabama","AL","Houston",100,12348,29.5103,29214,69.8181,41843
"Alabama","AL","Lauderdale",100,12504,33.8788,23902,64.761,36908
"Alabama","AL","Etowah",100,12792,30.1059,29102,68.4914,42490
"Alabama","AL","Morgan",100,13401,27.2389,35309,71.7692,49198
"Alabama","AL","Talladega",97.1429,13878,41.6544,19217,57.6793,33317
"Alabama","AL","Dallas",100,14599,69.7316,6284,30.0153,20936
"Alabama","AL","Calhoun",100,15462,33.5111,30210,65.4746,46140
"Alabama","AL","Baldwin",100,18329,21.5666,65772,77.3897,84988
"Alabama","AL","Shelby",100,19944,21.6303,71243,77.2667,92204
"Alabama","AL","Lee",100,21274,39.3126,32062,59.2479,54115
"Alabama","AL","Tuscaloosa",100,32003,40.7707,45703,58.2241,78495
"Alabama","AL","Madison",100,61802,39.9671,90679,58.6418,154632
"Alabama","AL","Montgomery",100,62993,61.8907,38283,37.6131,101781
"Alabama","AL","Mobile",100,75338,45.0403,90739,54.2477,167268
"Alabama","AL","Jefferson",100,156182,52.6647,138070,46.5573,296559
"Arkansas","AR","Newton",0,0,"null",0,"null",0
"Arkansas","AR","Calhoun",100,659,30.4529,1450,67.0055,2164
"Arkansas","AR","Searcy",100,803,21.994,2668,73.0759,3651
"Arkansas","AR","Cleveland",100,844,25.8975,2307,70.7886,3259
"Arkansas","AR","Pike",100,850,22.4452,2847,75.1782,3787
"Arkansas","AR","Prairie",100,877,27.9834,2149,68.5705,3134
"Arkansas","AR","Scott",100,895,24.6082,2630,72.3123,3637
"Arkansas","AR","Montgomery",100,920,27.035,2368,69.5857,3403
"Arkansas","AR","Sevier",100,1042,24.0758,3135,72.4353,4328
"Arkansas","AR","Lafayette",100,1173,40.0615,1712,58.4699,2928
"Arkansas","AR","Perry",100,1187,30.1499,2580,65.5321,3937
"Arkansas","AR","Nevada",100,1314,38.8298,1996,58.9835,3384
"Arkansas","AR","Dallas",100,1337,43.3669,1664,53.9734,3083
"Arkansas","AR","Woodruff",100,1340,49.9069,1227,45.6983,2685
"Arkansas","AR","Stone",100,1356,25.3411,3773,70.5102,5351
"Arkansas","AR","Lincoln",100,1424,38.2282,2199,59.0336,3725
"Arkansas","AR","Bradley",100,1447,39.8184,2118,58.2829,3634
"Arkansas","AR","Fulton",100,1452,32.1097,2949,65.2145,4522
"Arkansas","AR","Howard",100,1460,33.0391,2862,64.7658,4419
"Arkansas","AR","Grant",100,1467,22.6459,4829,74.5446,6478
"Arkansas","AR","Little River",100,1552,30.7266,3385,67.0164,5051
"Arkansas","AR","Polk",100,1556,20.1528,5950,77.0626,7721
"Arkansas","AR","Izard",100,1563,29.4184,3571,67.2125,5313
"Arkansas","AR","Monroe",100,1583,49.0093,1585,49.0712,3230
"Arkansas","AR","Franklin",100,1720,26.4128,4610,70.7924,6512
"Arkansas","AR","Yell",100,1720,28.8059,4041,67.6771,5971
"Arkansas","AR","Clay",100,1738,34.0117,3225,63.1115,5110
"Arkansas","AR","Lawrence",100,1786,32.2557,3535,63.8432,5537
"Arkansas","AR","Van Buren",100,1826,28.4379,4362,67.9333,6421
"Arkansas","AR","Randolph",100,1915,34.0323,3509,62.36,5627
"Arkansas","AR","Logan",100,2009,27.4079,5078,69.2769,7330
"Arkansas","AR","Marion",100,2024,28.795,4771,67.8759,7029
"Arkansas","AR","Sharp",100,2091,28.7225,4919,67.5687,7280
"Arkansas","AR","Jackson",100,2093,39.2094,3065,57.4185,5338
"Arkansas","AR","Madison",100,2099,31.9628,4262,64.9003,6567
"Arkansas","AR","Lee",100,2107,61.5362,1280,37.3832,3424
"Arkansas","AR","Cross",100,2279,34.1168,4268,63.8922,6680
"Arkansas","AR","Desha",100,2353,55.4953,1807,42.6179,4240
"Arkansas","AR","Poinsett",100,2387,31.6159,4967,65.7881,7550
"Arkansas","AR","Arkansas",100,2454,37.8237,3892,59.9877,6488
"Arkansas","AR","Hempstead",100,2462,35.7019,4274,61.978,6896
"Arkansas","AR","Cleburne",100,2617,22.4963,8682,74.6325,11633
"Arkansas","AR","Drew",100,2627,39.6468,3883,58.6025,6626
"Arkansas","AR","Chicot",66.6667,2649,60.7429,1670,38.294,4361
"Arkansas","AR","Johnson",0,2784,34.7609,5014,62.6046,8009
"Arkansas","AR","Ashley",100,2855,36.0708,4866,61.4782,7915
"Arkansas","AR","Conway",100,3003,38.8788,4511,58.4024,7724
"Arkansas","AR","Crawford",51.1628,3127,24.0779,9506,73.1963,12987
"Arkansas","AR","Independence",100,3279,26.4649,8724,70.4116,12390
"Arkansas","AR","Columbia",100,3557,37.6203,5790,61.2374,9455
"Arkansas","AR","Boone",100,3627,24.4127,10787,72.6055,14857
"Arkansas","AR","Carroll",100,3691,36.2859,6121,60.175,10172
"Arkansas","AR","Clark",100,3808,45.301,4343,51.6655,8406
"Arkansas","AR","Hot Spring",100,3824,34.0244,7087,63.0572,11239
"Arkansas","AR","Greene",100,3998,29.0679,9066,65.9154,13754
"Arkansas","AR","Miller",100,4517,29.4747,10619,69.292,15325
"Arkansas","AR","Ouachita",100,4626,44.8995,5516,53.5378,10303
"Arkansas","AR","Saint Francis",100,4652,57.9978,3287,40.9799,8021
"Arkansas","AR","Pope",100,5108,25.0515,14733,72.256,20390
"Arkansas","AR","Baxter",100,5172,26.7439,13688,70.7793,19339
"Arkansas","AR","Phillips",100,5179,65.557,2591,32.7975,7900
"Arkansas","AR","Lonoke",100,5237,22.5034,17450,74.9828,23272
"Arkansas","AR","White",100,5765,21.7482,20005,75.4678,26508
"Arkansas","AR","Union",100,6182,36.0256,10696,62.331,17160
"Arkansas","AR","Mississippi",100,6445,48.2808,6599,49.4344,13349
"Arkansas","AR","Crittenden",100,9092,58.6089,6192,39.9149,15513
"Arkansas","AR","Craighead",100,10351,33.1688,20044,64.2292,31207
"Arkansas","AR","Saline",100,12868,27.3444,32962,70.044,47059
"Arkansas","AR","Sebastian",100,13080,30.1876,29151,67.2783,43329
"Arkansas","AR","Garland",100,13317,33.9364,25031,63.7879,39241
"Arkansas","AR","Faulkner",100,13559,32.813,26653,64.5008,41322
"Arkansas","AR","Jefferson",100,17275,64.2122,9246,34.3679,26903
"Arkansas","AR","Benton",0,20913,28.5841,50486,69.0048,73163
"Arkansas","AR","Washington",100,28136,40.0621,39570,56.3426,70231
"Arkansas","AR","Pulaski",100,87055,54.7326,68856,43.2907,159055
"Arizona","AZ","Greenlee",100,1255,44.0042,1528,53.5764,2852
"Arizona","AZ","La Paz",100,1619,32.8931,3205,65.1158,4922
"Arizona","AZ","Graham",100,3288,30.6716,7279,67.9011,10720
"Arizona","AZ","Gila",97.4359,6604,35.8407,11520,62.5204,18426
"Arizona","AZ","Cochise",100,6766,33.2171,13216,64.8829,20369
"Arizona","AZ","Santa Cruz",91.6667,7720,67.3942,3598,31.4099,11455
"Arizona","AZ","Yuma",100,13039,41.1949,18239,57.6235,31652
"Arizona","AZ","Apache",97.7778,14519,66.9665,6802,31.3731,21681
"Arizona","AZ","Navajo",100,15168,46.4991,17049,52.2655,32620
"Arizona","AZ","Mohave",100,16737,27.8042,42403,70.4416,60196
"Arizona","AZ","Coconino",100,23250,56.2668,17200,41.6253,41321
"Arizona","AZ","Yavapai",100,29049,33.3735,56479,64.8871,87042
"Arizona","AZ","Pinal",100,32410,40.1541,46982,58.208,80714
"Arizona","AZ","Pima",100,151737,51.4316,139009,47.1174,295027
"Arizona","AZ","Maricopa",99.5856,384960,42.251,511838,56.1764,911126
"California","CA","Alpine",100,389,60.1236,236,36.476,647
"California","CA","Sierra",100,652,36.6498,1056,59.3592,1779
"California","CA","Modoc",100,1113,27.9227,2779,69.719,3986
"California","CA","Colusa",100,2070,37.3377,3381,60.9848,5544
"California","CA","Trinity",100,2367,47.0577,2422,48.1511,5030
"California","CA","Lassen",100,2469,28.9857,5830,68.4433,8518
"California","CA","Mono",100,2574,52.349,2202,44.7834,4917
"California","CA","Glenn",100,2646,34.77,4752,62.4442,7610
"California","CA","Inyo",100,2775,42.6857,3541,54.4685,6501
"California","CA","Mariposa",100,3080,39.4619,4434,56.8097,7805
"California","CA","Del Norte",100,3396,42.7708,4256,53.602,7940
"California","CA","Plumas",100,3670,40.206,5240,57.4058,9128
"California","CA","Yuba",100,5817,38.7567,8746,58.2717,15009
"California","CA","Amador",100,6001,39.2145,8903,58.1781,15303
"California","CA","Tehama",100,6032,34.7546,10791,62.1745,17356
"California","CA","Siskiyou",100,6561,40.7845,9027,56.1136,16087
"California","CA","Calaveras",100,7404,40.0888,10537,57.0524,18469
"California","CA","Tuolumne",100,7500,40.8742,10370,56.5153,18349
"California","CA","San Benito",100,7716,57.2743,5481,40.6844,13472
"California","CA","Sutter",100,8004,38.1361,12576,59.92,20988
"California","CA","Lake",100,9159,56.28,6474,39.7812,16274
"California","CA","Mendocino",100,11869,66.2037,5129,28.6089,17928
"California","CA","Kings",100,12282,40.7512,17184,57.0158,30139
"California","CA","Madera",100,12698,39.2253,18990,58.6618,32372
"California","CA","Nevada",100,14261,46.2059,15696,50.8554,30864
"California","CA","Imperial",100,17464,63.6142,9545,34.7685,27453
"California","CA","Shasta",100,18184,33.5988,34561,63.8588,54121
"California","CA","Napa",100,19964,61.7469,11647,36.0231,32332
"California","CA","Merced",100,26128,51.6997,23403,46.3077,50538
"California","CA","Tulare",100,27430,39.8535,40012,58.1342,68827
"California","CA","Humboldt",100,27757,59.9905,15653,33.8304,46269
"California","CA","El Dorado",100,29047,39.7034,42294,57.8103,73160
"California","CA","Butte",100,32567,46.4162,35312,50.3285,70163
"California","CA","Yolo",80.3419,38856,65.1804,19080,32.0064,59613
"California","CA","San Luis Obispo",100,47893,49.2539,46598,47.9221,97237
"California","CA","Placer",100,49126,38.8886,74460,58.9432,126325
"California","CA","Monterey",100,50852,65.8202,24714,31.9885,77259
"California","CA","Stanislaus",100,52504,48.3765,53593,49.3799,108532
"California","CA","Santa Cruz",100,61106,75.1667,17132,21.0741,81294
"California","CA","Marin",100,62929,74.1676,19760,23.289,84847
"California","CA","Kern",100,64690,38.4794,99840,59.3876,168116
"California","CA","Santa Barbara",100,70126,56.9815,49828,40.4882,123068
"California","CA","Solano",100,74077,62.84,41343,35.0715,117882
"California","CA","Fresno",100,75313,47.3574,80859,50.8448,159031
"California","CA","San Joaquin",100,80005,53.4839,66742,44.6175,149587
"California","CA","Sonoma",100,124504,70.8464,45666,25.9853,175738
"California","CA","Ventura",100,130512,51.3445,118156,46.4835,254189
"California","CA","San Mateo",100,143976,71.2326,53853,26.6439,202121
"California","CA","Sacramento",100,184515,56.7354,132919,40.8705,325220
"California","CA","San Francisco",100,214829,83.2309,34896,13.5197,258112
"California","CA","Riverside",70.7718,218963,48.428,224712,49.6995,452141
"California","CA","Contra Costa",100,219090,65.6288,107318,32.1473,333832
"California","CA","San Bernardino",62.0883,221949,51.2703,201357,46.5135,432900
"California","CA","Santa Clara",100,300889,69.5061,121501,28.067,432896
"California","CA","Alameda",100,308478,77.8727,76794,19.386,396131
"California","CA","Orange",100,377684,44.1994,458590,53.6676,854500
"California","CA","San Diego",100,417320,51.2277,381285,46.8042,814638
"California","CA","Los Angeles",100,1.61419e+06,69.2549,662909,28.4414,2.33079e+06
"Colorado","CO","Kiowa",100,118,14.3727,677,82.4604,821
"Colorado","CO","Cheyenne",60,162,15.5024,858,82.1053,1045
"Colorado","CO","Jackson",60,216,25.4717,600,70.7547,848
"Colorado","CO","Hinsdale",100,228,38.1271,352,58.8629,598
"Colorado","CO","San Juan",100,266,52.5692,212,41.8972,506
"Colorado","CO","Mineral",100,291,44.7692,344,52.9231,650
"Colorado","CO","Dolores",100,329,27.0115,838,68.8013,1218
"Colorado","CO","Sedgwick",80,419,31.3388,881,65.8938,1337
"Colorado","CO","Washington",100,461,17.9587,2059,80.2104,2567
"Colorado","CO","Baca",100,462,22.042,1554,74.1412,2096
"Colorado","CO","Crowley",66.6667,535,35.6192,924,61.518,1502
"Colorado","CO","Lincoln",100,537,23.8879,1663,73.9769,2248
"Colorado","CO","Rio Blanco",100,561,16.9435,2677,80.8517,3311
"Colorado","CO","Phillips",100,588,25.9603,1637,72.2737,2265
"Colorado","CO","Bent",80,778,41.361,1053,55.9809,1881
"Colorado","CO","Kit Carson",100,789,22.383,2664,75.5745,3525
"Colorado","CO","Custer",100,862,31.9614,1776,65.8509,2697
"Colorado","CO","Yuma",100,950,21.2006,3433,76.6124,4481
"Colorado","CO","Moffat",100,1291,21.3671,4616,76.3985,6042
"Colorado","CO","Costilla",100,1317,73.0044,440,24.3902,1804
"Colorado","CO","Prowers",100,1498,31.1499,3200,66.5419,4809
"Colorado","CO","Ouray",100,1640,51.5237,1470,46.1828,3183
"Colorado","CO","Saguache",71.4286,1762,63.0186,937,33.5122,2796
"Colorado","CO","Lake",100,1807,60.3742,1087,36.3181,2993
"Colorado","CO","Gilpin",100,1854,56.6799,1320,40.3546,3271
"Colorado","CO","Huerfano",100,1897,52.3599,1615,44.5763,3623
"Colorado","CO","Conejos",100,2180,54.1346,1794,44.5493,4027
"Colorado","CO","Rio Grande",73.3333,2256,45.7514,2553,51.7745,4931
"Colorado","CO","Archuleta",100,2637,39.678,3831,57.6437,6646
"Colorado","CO","Logan",100,2675,29.6235,6124,67.8184,9030
"Colorado","CO","San Miguel",100,2961,70.2491,1144,27.1412,4215
"Colorado","CO","Clear Creek",100,3041,54.2068,2381,42.4421,5610
"Colorado","CO","Las Animas",100,3282,50.2449,3105,47.5352,6532
"Colorado","CO","Elbert",100,3542,25.3127,10148,72.522,13993
"Colorado","CO","Otero",100,3566,44.3588,4315,53.6758,8039
"Colorado","CO","Grand",100,3575,44.9064,4149,52.1166,7961
"Colorado","CO","Park",100,3721,41.0979,5085,56.163,9054
"Colorado","CO","Morgan",100,3761,35.8943,6461,61.6625,10478
"Colorado","CO","Alamosa",100,3782,56.6931,2693,40.3688,6671
"Colorado","CO","Teller",76.9231,3894,32.0652,7909,65.1268,12144
"Colorado","CO","Montezuma",100,4486,36.6743,7372,60.2681,12232
"Colorado","CO","Delta",80,4542,28.965,10762,68.6308,15681
"Colorado","CO","Gunnison",100,4563,57.6719,3106,39.2568,7912
"Colorado","CO","Chaffee",100,4967,48.6151,4949,48.4389,10217
"Colorado","CO","Montrose",100,5852,30.7127,12789,67.1198,19054
"Colorado","CO","Fremont",100,6644,32.7969,13087,64.6016,20258
"Colorado","CO","Pitkin",100,6648,67.9824,2941,30.0746,9779
"Colorado","CO","Routt",100,7389,56.6728,5361,41.1183,13038
"Colorado","CO","Summit",100,9169,60.9722,5495,36.5408,15038
"Colorado","CO","Garfield",100,10989,46.3769,12159,51.3146,23695
"Colorado","CO","Eagle",100,12598,56.3064,9317,41.6421,22374
"Colorado","CO","La Plata",100,15063,52.899,12554,44.0878,28475
"Colorado","CO","Broomfield",100,16653,51.7319,14765,45.8669,32191
"Colorado","CO","Mesa",100,22448,32.5178,45087,65.3122,69033
"Colorado","CO","Pueblo",14.8438,37393,55.1788,28877,42.6122,67767
"Colorado","CO","Weld",88.0734,47418,42.0764,62350,55.3263,112695
"Colorado","CO","Douglas",100,54093,36.0236,93930,62.5533,150160
"Colorado","CO","Larimer",100,83103,51.3543,74603,46.1016,161823
"Colorado","CO","Adams",100,90843,56.2513,66531,41.1969,161495
"Colorado","CO","El Paso",100,103481,37.985,162281,59.5688,272426
"Colorado","CO","Arapahoe",66.9291,112318,52.3517,98355,45.8435,214545
"Colorado","CO","Boulder",100,120485,69.5613,48526,28.0162,173207
"Colorado","CO","Jefferson",100,153069,50.9973,139960,46.6299,300151
"Colorado","CO","Denver",0.58309,209759,73.4543,69755,24.4271,285564
"Connecticut","CT","Colchester",0,0,"null",0,"null",0
"Connecticut","CT","North Branford",0,0,"null",0,"null",0
"Connecticut","CT","Plymouth",0,0,"null",0,"null",0
"Connecticut","CT","Ridgefield",0,0,"null",0,"null",0
"Connecticut","CT","Stamford",0,0,"null",0,"null",0
"Connecticut","CT","Union",100,257,49.8062,250,48.4496,516
"Connecticut","CT","Colebrook",100,380,44.3925,462,53.972,856
"Connecticut","CT","Canaan",100,384,63.3663,210,34.6535,606
"Connecticut","CT","Warren",100,404,48.8513,407,49.214,827
"Connecticut","CT","Scotland",100,408,48.8623,415,49.7006,835
"Connecticut","CT","Hartland",100,414,34.2715,778,64.404,1208
"Connecticut","CT","Eastford",100,464,46.0775,465,46.1768,1007
"Connecticut","CT","Bridgewater",100,472,44.3609,580,54.5113,1064
"Connecticut","CT","Franklin",100,519,49.1943,516,48.91,1055
"Connecticut","CT","Morris",100,535,41.3127,740,57.1429,1295
"Connecticut","CT","Norfolk",100,556,58.588,384,40.4636,949
"Connecticut","CT","Chaplin",100,584,54.3762,466,43.3892,1074
"Connecticut","CT","Hampton",100,601,58.4062,413,40.1361,1029
"Connecticut","CT","Voluntown",100,610,49.273,600,48.4653,1238
"Connecticut","CT","Cornwall",100,629,71.2344,250,28.3126,883
"Connecticut","CT","Bozrah",100,648,50.3106,606,47.0497,1288
"Connecticut","CT","Sterling",100,655,46.8192,711,50.822,1399
"Connecticut","CT","North Canaan",100,706,55.2858,552,43.2263,1277
"Connecticut","CT","Sprague",100,724,51.7513,655,46.8192,1399
"Connecticut","CT","Goshen",100,749,41.9608,1017,56.9748,1785
"Connecticut","CT","Roxbury",100,758,51.3202,706,47.7996,1477
"Connecticut","CT","Lyme",100,856,58.1127,593,40.258,1473
"Connecticut","CT","Prospect",50,860,33.925,1642,64.7732,2535
"Connecticut","CT","Bethlehem",100,894,40.9716,1272,58.2951,2182
"Connecticut","CT","Sharon",100,902,62.6389,519,36.0417,1440
"Connecticut","CT","Andover",100,904,54.8877,724,43.9587,1647
"Connecticut","CT","Sherman",100,1020,48.6641,1049,50.0477,2096
"Connecticut","CT","Barkhamsted",100,1033,49.0736,1033,49.0736,2105
"Connecticut","CT","Kent",100,1080,63.306,606,35.5217,1706
"Connecticut","CT","Salem",100,1098,51.3564,996,46.5856,2138
"Connecticut","CT","Pomfret",100,1103,51.3262,1012,47.0917,2149
"Connecticut","CT","Lisbon",100,1125,54.878,890,43.4146,2050
"Connecticut","CT","Preston",100,1165,48.6837,1186,49.5612,2393
"Connecticut","CT","Canterbury",100,1197,47.0704,1294,50.8848,2543
"Connecticut","CT","Washington",100,1237,59.414,824,39.5773,2082
"Connecticut","CT","Harwinton",100,1260,38.8409,1924,59.3095,3244
"Connecticut","CT","Beacon Falls",100,1300,43.9338,1598,54.0047,2959
"Connecticut","CT","Ashford",100,1331,61.2517,803,36.9535,2173
"Connecticut","CT","Middlefield",100,1334,52.5404,1168,46.0024,2539
"Connecticut","CT","Chester",100,1380,65.4339,707,33.523,2109
"Connecticut","CT","North Stonington",100,1383,50.7896,1279,46.9703,2723
"Connecticut","CT","East Granby",100,1389,48.2627,1448,50.3127,2878
"Connecticut","CT","Bolton",100,1433,49.2271,1434,49.2614,2911
"Connecticut","CT","Deep River",100,1479,60.7891,932,38.3066,2433
"Connecticut","CT","Willington",100,1538,54.3463,1241,43.8516,2830
"Connecticut","CT","Salisbury",100,1552,69.193,659,29.3803,2243
"Connecticut","CT","Thomaston",100,1556,41.35,2144,56.9758,3763
"Connecticut","CT","Bethany",100,1615,50.627,1536,48.1505,3190
"Connecticut","CT","Middlebury",100,1675,36.5481,2865,62.5136,4583
"Connecticut","CT","Columbia",100,1714,55.758,1316,42.8107,3074
"Connecticut","CT","Brooklyn",100,1737,51.5583,1564,46.4233,3369
"Connecticut","CT","New Hartford",100,1759,45.3234,2056,52.976,3881
"Connecticut","CT","Marlborough",100,1791,51.0402,1668,47.5349,3509
"Connecticut","CT","Putnam",100,1839,53.7562,1507,44.0514,3421
"Connecticut","CT","Easton",100,1841,43.1552,2380,55.79,4266
"Connecticut","CT","Lebanon",100,1878,51.8928,1685,46.5598,3619
"Connecticut","CT","Westbrook",100,1903,53.5755,1604,45.1577,3552
"Connecticut","CT","Killingworth",100,1921,50.3407,1840,48.218,3816
"Connecticut","CT","Thompson",100,1977,48.8148,1993,49.2099,4050
"Connecticut","CT","Durham",100,1979,48.6121,2037,50.0368,4071
"Connecticut","CT","Woodstock",100,2021,47.8683,2134,50.5448,4222
"Connecticut","CT","Somers",100,2055,41.5487,2837,57.3595,4946
"Connecticut","CT","Litchfield",100,2151,46.4378,2403,51.8782,4632
"Connecticut","CT","Winchester",100,2201,47.0299,2389,51.047,4680
"Connecticut","CT","Essex",100,2230,56.1006,1701,42.7925,3975
"Connecticut","CT","Haddam",100,2346,50.495,2230,47.9983,4646
"Connecticut","CT","Burlington",100,2357,46.2338,2683,52.6285,5098
"Connecticut","CT","Woodbury",100,2434,43.8243,3058,55.0594,5554
"Connecticut","CT","East Haddam",100,2439,52.7694,2103,45.4998,4622
"Connecticut","CT","Derby",100,2509,55.0823,1993,43.7541,4555
"Connecticut","CT","Old Lyme",100,2561,56.15,1958,42.9292,4561
"Connecticut","CT","Griswold",100,2581,53.2604,2166,44.6967,4846
"Connecticut","CT","Oxford",100,2599,39.3907,3905,59.1846,6598
"Connecticut","CT","Hebron",100,2606,50.6708,2471,48.0459,5143
"Connecticut","CT","Portland",100,2652,54.5791,2137,43.9802,4859
"Connecticut","CT","Redding",100,2787,52.0837,2503,46.7763,5351
"Connecticut","CT","Weston",100,2911,53.659,2514,46.341,5425
"Connecticut","CT","Plainfield",100,2957,54.2569,2378,43.633,5450
"Connecticut","CT","Canton",100,2967,51.2347,2742,47.3493,5791
"Connecticut","CT","Stafford",100,3018,53.6629,2491,44.2923,5624
"Connecticut","CT","Woodbridge",100,3018,58.4431,2104,40.7436,5164
"Connecticut","CT","East Windsor",100,3072,57.0262,2250,41.7672,5387
"Connecticut","CT","New Fairfield",100,3075,43.0612,3985,55.8045,7141
"Connecticut","CT","Granby",100,3079,48.2753,3221,50.5017,6378
"Connecticut","CT","Old Saybrook",100,3103,52.4333,2753,46.5191,5918
"Connecticut","CT","Wolcott",100,3139,37.7374,5097,61.2767,8318
"Connecticut","CT","Windsor Locks",100,3174,55.4895,2454,42.9021,5720
"Connecticut","CT","Darien",100,3182,33.6079,6220,65.695,9468
"Connecticut","CT","Killingly",100,3255,54.0159,2653,44.0259,6026
"Connecticut","CT","Suffield",100,3316,45.587,3882,53.3682,7274
"Connecticut","CT","Ledyard",100,3443,51.3804,3132,46.7393,6701
"Connecticut","CT","Seymour",100,3447,47.9683,3630,50.5149,7186
"Connecticut","CT","East Hampton",100,3509,52.0855,3137,46.5638,6737
"Connecticut","CT","Coventry",100,3534,56.2828,2619,41.7105,6279
"Connecticut","CT","Ellington",100,3598,47.3048,3894,51.1964,7606
"Connecticut","CT","Orange",100,3607,45.6871,4206,53.2742,7895
"Connecticut","CT","Clinton",100,3607,54.7178,2926,44.3871,6592
"Connecticut","CT","New Canaan",100,3804,35.0212,6966,64.1318,10862
"Connecticut","CT","Brookfield",100,3916,43.681,4941,55.1143,8965
"Connecticut","CT","Montville",100,4014,55.5187,3115,43.0844,7230
"Connecticut","CT","Simsbury",50,4049,49.6201,4008,49.1176,8160
"Connecticut","CT","Cromwell",100,4063,55.294,3193,43.454,7348
"Connecticut","CT","Watertown",100,4091,37.8586,6581,60.9014,10806
"Connecticut","CT","Tolland",100,4135,51.1378,3840,47.4895,8086
"Connecticut","CT","Ansonia",100,4273,61.332,2596,37.2614,6967
"Connecticut","CT","Southbury",100,4424,43.5476,5626,55.3795,10159
"Connecticut","CT","Monroe",100,4446,43.0189,5757,55.7039,10335
"Connecticut","CT","Plainville",100,4540,57.0352,3318,41.6834,7960
"Connecticut","CT","Wilton",100,4589,45.3683,5424,53.6233,10115
"Connecticut","CT","Bethel",100,4777,51.184,4445,47.6267,9333
"Connecticut","CT","East Lyme",100,4808,57.6084,3450,41.3372,8346
"Connecticut","CT","Rocky Hill",100,5173,55.5758,4029,43.2853,9308
"Connecticut","CT","Madison",100,5293,50.2516,5193,49.3022,10533
