From,To,Attributes,Graph
24,49,"shape=arrow",G
24,13,"shape=arrow",G
24,47,"shape=arrow",G
24,12,"shape=arrow",G
25,,"fillcolor='#00ff005f',shape=circle,style=filled",G
25,27,"shape=arrow",G
25,12,"shape=arrow",G
26,,"fillcolor='#00ff005f',shape=circle,style=filled",G
26,41,"shape=arrow",G
26,42,"shape=arrow",G
27,,"fillcolor='#00ff005f',shape=circle,style=filled",G
27,12,"shape=arrow",G
27,14,"shape=arrow",G
28,,"fillcolor='#00ff005f',shape=circle,style=filled",G
28,43,"shape=arrow",G
28,8,"shape=arrow",G
29,,"fillcolor='#00ff005f',shape=circle,style=filled",G
29,10,"shape=arrow",G
29,8,"shape=arrow",G
3,,"fillcolor='#00ff005f',shape=circle,style=filled",G
3,20,"shape=arrow",G
3,28,"shape=arrow",G
30,,"fillcolor='#00ff005f',shape=circle,style=filled",G
30,24,"shape=arrow",G
30,44,"shape=arrow",G
31,,"fillcolor='#00ff005f',shape=circle,style=filled",G
31,39,"shape=arrow",G
31,47,"shape=arrow",G
31,25,"shape=arrow",G
32,,"fillcolor='#00ff005f',shape=circle,style=filled",G
32,28,"shape=arrow",G
32,39,"shape=arrow",G
32,42,"shape=arrow",G
33,,"fillcolor='#00ff005f',shape=circle,style=filled",G
33,9,"shape=arrow",G
33,46,"shape=arrow",G
33,48,"shape=arrow",G
34,,"fillcolor='#00ff005f',shape=circle,style=filled",G
34,23,"shape=arrow",G
34,24,"shape=arrow",G
35,,"fillcolor='#00ff005f',shape=circle,style=filled",G
35,34,"shape=arrow",G
35,16,"shape=arrow",G
35,18,"shape=arrow",G
36,,"fillcolor='#00ff005f',shape=circle,style=filled",G
36,46,"shape=arrow",G
37,,"fillcolor='#00ff005f',shape=circle,style=filled",G
37,26,"shape=arrow",G
37,16,"shape=arrow",G
38,,"fillcolor='#00ff005f',shape=circle,style=filled",G
38,29,"shape=arrow",G
38,35,"shape=arrow",G
39,,"fillcolor='#00ff005f',shape=circle,style=filled",G
39,50,"shape=arrow",G
39,14,"shape=arrow",G
39,18,"shape=arrow",G
39,47,"shape=arrow",G
4,,"fillcolor='#00ff005f',shape=circle,style=filled",G
4,17,"shape=arrow",G
4,15,"shape=arrow",G
4,12,"shape=arrow",G
40,,"fillcolor='#00ff005f',shape=circle,style=filled",G
40,22,"shape=arrow",G
40,47,"shape=arrow",G
41,,"fillcolor='#00ff005f',shape=circle,style=filled",G
41,31,"shape=arrow",G
41,8,"shape=arrow",G
42,,"fillcolor='#00ff005f',shape=circle,style=filled",G
42,44,"shape=arrow",G
42,29,"shape=arrow",G
43,,"fillcolor='#00ff005f',shape=circle,style=filled",G
43,11,"shape=arrow",G
43,17,"shape=arrow",G
44,,"fillcolor='#00ff005f',shape=circle,style=filled",G
44,37,"shape=arrow",G
44,32,"shape=arrow",G
45,,"fillcolor='#00ff005f',shape=circle,style=filled",G
45,15,"shape=arrow",G
46,,"fillcolor='#00ff005f',shape=circle,style=filled",G
47,,"fillcolor='#00ff005f',shape=circle,style=filled",G
48,,"fillcolor='#00ff005f',shape=circle,style=filled",G
49,,"fillcolor='#00ff005f',shape=circle,style=filled",G
5,,"fillcolor='#00ff005f',shape=circle,style=filled",G
5,7,"shape=arrow",G
5,36,"shape=arrow",G
50,,"fillcolor='#00ff005f',shape=circle,style=filled",G
6,,"fillcolor='#00ff005f',shape=circle,style=filled",G
6,45,"shape=arrow",G
6,28,"shape=arrow",G
7,,"fillcolor='#00ff005f',shape=circle,style=filled",G
7,32,"shape=arrow",G
7,11,"shape=arrow",G
7,14,"shape=arrow",G
8,,"fillcolor='#00ff005f',shape=circle,style=filled",G
8,46,"shape=arrow",G
8,16,"shape=arrow",G
9,,"fillcolor='#00ff005f',shape=circle,style=filled",G
9,6,"shape=arrow",G
9,16,"shape=arrow",G
